trend_id,name,url,promoted_content,query,tweet_volume,location,updated_at
TR0063,Little land national,https://www.soto.com/,True,Little%20land%20national,,BF,2025-07-29 04:46:24
TR0064,Shake choice,https://www.davidson.biz/,True,Shake%20choice,12712,,2025-05-10 15:37:37
TR0065,Number scientist,https://barker.com/,True,Number%20scientist,14121,,2025-10-22 02:29:18
TR0066,Question smile put,https://quinn-williams.com/,True,Question%20smile%20put,375859,,2024-12-18 06:49:13
TR0067,Well term,https://carter.com/,False,Well%20term,13660,,2025-09-13 19:00:05
TR0068,Me fear account,http://harris-pope.com/,False,,270191,DE,2025-06-16 03:40:43
TR0069,At benefit,,True,At%20benefit,7034,DK,2025-08-13 07:48:32
TR0070,This lawyer its help,https://www.sanchez-allen.com/,False,This%20lawyer%20its%20help,8252,KN,2025-05-21 09:08:50
TR0071,Morning amount,https://wood.net/,False,Morning%20amount,57693,LU,2025-02-02 21:17:16
TR0072,Church hundred garden,https://collier-fisher.info/,True,Church%20hundred%20garden,507013,,2025-08-31 00:04:53
TR0073,Ago group,http://henderson-lamb.net/,False,Ago%20group,14421,CD,2025-05-10 00:14:17
TR0074,He something order school,,False,He%20something%20order%20school,130,AD,2025-03-29 21:41:05
TR0075,Issue recognize,,False,Issue%20recognize,964,TW,2025-09-05 08:48:23
TR0076,Record read travel,http://www.vasquez.com/,True,Record%20read%20travel,39971,PG,2025-03-31 18:48:54
TR0077,School fall either country,https://sanders.com/,False,School%20fall%20either%20country,1153,,2025-01-05 07:57:19
TR0078,With name,http://terrell.com/,True,With%20name,3900,PG,2025-09-03 19:18:20
TR0079,Leader system,,False,,22576,,2025-10-06 18:51:07
TR0080,Generation detail,,False,Generation%20detail,164,,2025-06-18 15:10:27
TR0081,Industry,,False,Industry,10306,,2025-04-11 07:31:27
TR0082,Prevent answer our,https://www.morris.com/,False,Prevent%20answer%20our,2143,,2025-03-31 07:58:25
TR0083,Seem tax,https://www.wheeler-murphy.com/,True,Seem%20tax,1098,SL,2025-09-17 05:59:57
TR0084,Reach start,,False,Reach%20start,4427,,2025-05-17 07:13:41
TR0085,Spend body believe simple,,False,,2595,,2025-08-24 20:05:21
TR0086,Event minute,http://porter.com/,False,Event%20minute,56328,,2024-12-19 10:33:04
TR0087,Thus city,https://www.bautista-tate.com/,True,Thus%20city,241120,,2025-04-29 14:21:51
TR0088,Often attack,,True,Often%20attack,10626,,2024-12-14 23:03:43
TR0089,Say science,http://www.lawrence-rodgers.com/,True,Say%20science,6685,IL,2025-11-18 16:54:48
TR0090,Seem minute,https://www.miller-long.com/,False,Seem%20minute,9619,VC,2025-02-26 12:32:27
TR0091,Senior leader store,http://montoya-jones.com/,False,Senior%20leader%20store,2400,,2025-01-27 04:12:21
TR0092,Kid father less,https://hughes-schwartz.info/,False,Kid%20father%20less,1673,,2025-03-04 18:11:25
TR0093,Them old need,,False,Them%20old%20need,819,,2025-03-07 10:09:52
TR0094,Best science cut,,True,Best%20science%20cut,1542,,2025-10-08 11:53:09
TR0095,Create year,https://davis.com/,True,Create%20year,,AU,2025-03-08 02:15:25
TR0096,Painting clearly whatever,https://www.hamilton.com/,False,Painting%20clearly%20whatever,5536,,2025-01-23 11:16:05
TR0097,Plant several,http://www.haas.com/,False,Plant%20several,61,,2025-09-09 15:35:18
TR0098,Peace,,True,Peace,6808,,2025-10-01 01:07:11
TR0099,Bag explain about,https://burgess.biz/,False,Bag%20explain%20about,915,TW,2025-01-01 09:10:08
TR0100,Five support hit,https://www.davis.com/,False,Five%20support%20hit,24809,,2025-01-31 23:57:18
