USER,USER,followed_at,notification_preference
U000002,U000929,2024-10-30 12:27:15,
U000002,U000883,2024-02-22 17:05:46,
U000001,U000850,2025-11-27 21:53:32,none
U000004,U000752,2025-04-17 21:42:19,
U000021,U000947,2023-07-26 00:28:26,none
U000001,U000226,2022-08-16 17:02:31,
U000001,U000349,2024-04-27 16:34:46,none
U000010,U000332,2025-05-03 23:17:48,all
U000001,U000961,2023-11-24 14:21:12,mentions
U000004,U000703,2023-05-14 18:46:27,
U000008,U000556,2024-12-08 03:19:28,all
U000009,U000295,2023-06-09 14:42:34,all
U000005,U000841,2021-12-20 05:10:00,none
U000001,U000373,2025-01-26 06:02:53,mentions
U000001,U000388,2023-05-05 19:15:12,none
U000001,U000736,2024-10-15 22:01:07,
U000003,U000165,2025-10-10 15:43:51,
U000004,U000566,2025-05-10 20:14:37,
U000010,U000004,2024-04-07 20:09:55,
U000003,U000086,2024-02-04 02:52:55,mentions
U000002,U000270,2024-08-01 22:39:21,
U000001,U000138,2025-10-14 13:40:08,mentions
U000003,U000107,2025-04-11 06:05:24,all
U000012,U000710,2022-10-13 07:03:13,
U000001,U000668,2025-06-15 18:21:18,
U000001,U000075,2022-04-12 06:28:57,mentions
U000002,U000715,2022-12-07 05:25:53,none
U000001,U000485,2022-05-15 14:01:58,none
U000001,U000596,2022-06-15 15:29:13,mentions
U000001,U000207,2022-12-14 14:42:12,all
U000002,U000126,2022-04-25 18:26:58,all
U000005,U000999,2024-05-26 18:38:38,mentions
U000004,U000126,2022-11-17 03:48:24,mentions
U000004,U000884,2022-08-11 09:46:35,none
U000001,U000214,2025-10-01 16:46:35,all
U000003,U000190,2023-07-08 18:48:16,
U000001,U000237,2025-04-19 07:51:53,
U000003,U000395,2022-09-03 08:40:50,all
U000016,U000198,2022-06-30 17:40:43,none
U000003,U000831,2022-07-07 15:45:07,none
U000001,U000762,2023-09-02 18:58:25,
U000011,U000071,2023-09-30 13:56:12,none
U000001,U000771,2025-01-28 09:35:59,none
U000001,U000593,2024-06-01 13:34:29,
U000001,U000832,2023-01-07 16:14:58,none
U000001,U000049,2025-02-01 23:30:17,none
U000012,U000120,2022-04-27 20:23:33,all
U000001,U000778,2022-08-30 16:26:07,
U000031,U000080,2024-02-25 01:32:34,
U000001,U000032,2025-05-19 22:47:49,mentions
U000001,U000050,2022-01-30 14:23:43,all
U000002,U000048,2025-08-22 23:48:00,mentions
U000002,U000921,2022-12-30 10:48:09,mentions
U000001,U000022,2024-05-29 06:58:19,
U000002,U000367,2024-09-02 18:32:00,
U000003,U000186,2022-02-10 20:39:58,
U000001,U000798,2025-02-07 14:25:35,none
U000001,U000756,2023-08-17 02:12:26,all
U000001,U000220,2024-03-31 06:19:11,
U000034,U000557,2025-05-05 23:16:51,all
U000001,U000420,2025-02-11 13:48:26,none
U000002,U000366,2024-02-24 04:50:15,mentions
U000002,U000219,2025-10-12 03:31:25,none
U000008,U000568,2024-08-18 10:11:31,mentions
U000001,U000781,2022-05-05 05:00:42,
U000001,U000790,2021-12-29 11:59:03,
U000001,U000266,2023-08-17 03:40:05,none
U000001,U000994,2023-01-21 20:57:53,all
U000001,U000416,2025-02-21 17:38:06,
U000009,U000696,2025-03-12 06:09:24,none
U000006,U000124,2022-02-13 04:29:18,all
U000001,U000659,2024-09-05 23:17:30,none
U000007,U000587,2024-09-12 11:08:41,mentions
U000002,U000824,2022-08-28 12:35:28,mentions
U000003,U000364,2025-04-02 13:54:19,mentions
U000034,U000811,2024-01-12 11:31:35,mentions
U000001,U000337,2024-08-15 04:44:01,
U000021,U000121,2022-11-11 10:39:57,mentions
U000006,U000761,2023-07-22 20:44:33,mentions
U000002,U000736,2025-03-05 15:06:14,
U000001,U000208,2025-10-21 18:51:56,all
U000002,U000926,2024-04-11 15:15:58,mentions
U000010,U000289,2024-07-26 13:24:45,all
U000001,U000136,2024-05-26 14:19:37,
U000001,U000331,2024-08-23 16:12:14,
U000011,U000974,2023-03-24 12:57:49,all
U000001,U000585,2022-04-15 06:16:58,all
U000001,U000859,2022-05-29 14:40:17,mentions
U000002,U000452,2022-07-14 18:55:55,none
U000001,U000967,2025-06-22 21:40:04,none
U000001,U000028,2024-12-15 20:53:02,
U000002,U000743,2024-10-02 04:39:35,
U000002,U000405,2025-09-28 04:18:41,
U000010,U000352,2022-12-25 17:01:55,all
U000001,U000837,2024-02-18 02:19:22,none
U000001,U000597,2023-10-30 14:08:09,none
U000008,U000530,2025-11-15 18:55:21,none
U000003,U000523,2024-02-23 07:45:38,all
U000003,U000741,2022-06-25 07:59:36,mentions
U000001,U000513,2023-02-21 00:23:18,none
U000008,U000348,2025-07-29 08:16:24,
U000008,U000522,2024-04-29 16:51:15,
U000004,U000089,2023-08-18 15:29:36,
U000002,U000993,2024-08-21 02:57:09,mentions
U000001,U000650,2022-05-30 14:20:26,all
U000010,U000961,2023-01-18 12:47:46,mentions
U000002,U000692,2023-09-09 22:54:41,none
U000030,U000236,2023-11-12 00:00:40,all
U000001,U000313,2021-12-30 05:05:04,
U000001,U000890,2025-10-05 15:37:00,
U000004,U000867,2022-03-28 07:33:45,none
U000002,U000209,2024-09-06 03:30:46,all
U000035,U000395,2022-10-03 05:13:02,all
U000001,U000330,2024-05-15 22:10:03,mentions
U000042,U000092,2022-09-05 08:00:42,
U000002,U000076,2023-11-17 11:21:13,none
U000002,U000663,2025-03-01 11:38:12,mentions
U000001,U000081,2025-08-22 13:23:28,
U000004,U000367,2022-03-06 00:27:41,
U000001,U000588,2025-01-06 04:57:24,none
U000001,U000580,2025-04-18 12:44:04,none
U000002,U000156,2023-03-09 03:41:16,all
U000037,U000945,2024-02-17 11:28:17,all
U000001,U000437,2025-02-09 18:43:42,none
U000001,U000840,2024-12-11 11:29:17,none
U000002,U000544,2024-11-16 12:28:32,
U000011,U000566,2023-03-02 03:57:26,
U000002,U000460,2022-12-30 19:16:51,
U000006,U000019,2023-03-27 22:33:23,none
U000001,U000680,2022-11-28 09:21:24,all
U000001,U000873,2025-07-16 17:33:35,
U000005,U000190,2025-06-10 00:03:18,none
U000001,U000019,2022-07-16 08:55:48,
U000009,U000373,2023-04-04 21:42:07,
U000002,U000166,2023-06-01 15:22:25,mentions
U000001,U000204,2023-02-21 01:01:23,mentions
U000001,U000228,2023-06-20 18:29:13,mentions
U000001,U000938,2024-01-05 21:14:36,
U000004,U000645,2024-06-25 13:56:29,
U000001,U000188,2025-02-15 06:14:50,
U000003,U000267,2023-07-07 20:22:27,mentions
U000001,U000773,2022-01-23 14:46:25,
U000001,U000882,2024-12-24 10:35:50,mentions
U000004,U000104,2022-08-03 19:13:28,none
U000001,U000929,2024-11-09 03:44:02,none
U000001,U000901,2023-12-19 01:11:30,
U000005,U000397,2024-02-23 05:41:10,none
U000010,U000377,2022-12-02 02:59:09,
U000003,U000836,2023-02-01 02:53:18,
U000002,U000474,2021-12-21 11:44:01,
U000001,U000515,2025-09-06 06:28:47,
U000001,U000984,2023-03-18 17:16:30,all
U000002,U000847,2022-02-28 02:20:46,none
U000002,U000729,2024-10-03 05:06:19,mentions
U000001,U000542,2024-12-07 22:44:33,
U000003,U000648,2022-06-10 14:40:05,none
U000001,U000292,2024-05-24 21:26:34,none
U000003,U000322,2025-03-17 10:50:12,
U000001,U000436,2024-11-14 19:32:33,
U000004,U000970,2025-05-17 18:34:06,mentions
U000004,U000956,2022-07-15 04:43:42,none
U000001,U000472,2022-02-11 07:16:29,mentions
U000002,U000143,2023-09-04 07:59:41,all
U000162,U000675,2024-02-23 07:51:43,none
U000027,U000055,2025-10-23 23:47:39,
U000009,U000824,2023-08-20 03:55:01,mentions
U000001,U000233,2025-04-12 02:35:58,mentions
U000033,U000575,2024-07-07 17:26:51,
U000001,U000269,2025-04-14 06:51:12,none
U000001,U000357,2025-01-18 22:27:01,all
U000009,U000886,2024-05-31 23:55:48,
U000001,U000304,2025-07-06 04:12:02,mentions
U000001,U000649,2023-01-11 08:04:50,
U000002,U000315,2023-01-12 22:38:14,all
U000001,U000697,2022-10-19 14:40:06,none
U000007,U000835,2023-07-14 16:25:56,mentions
U000001,U000080,2022-10-27 11:18:53,mentions
U000003,U000851,2022-12-11 03:39:28,
U000004,U000958,2022-10-13 05:10:05,mentions
U000003,U000035,2025-11-27 23:33:13,mentions
U000001,U000289,2025-08-28 02:00:20,mentions
U000005,U000868,2024-05-21 11:45:44,all
U000002,U000800,2025-07-06 05:58:44,none
U000001,U000794,2021-12-14 21:53:28,all
U000001,U000322,2024-06-07 16:38:42,none
U000001,U000978,2022-11-24 23:00:41,mentions
U000002,U000901,2024-10-19 22:58:49,mentions
U000004,U000862,2023-07-04 23:28:30,all
U000001,U000248,2023-04-22 06:46:15,mentions
U000001,U000753,2025-07-25 10:43:06,mentions
U000002,U000848,2024-02-21 23:17:50,none
U000001,U000387,2024-01-24 23:46:19,
U000008,U000669,2025-04-04 08:23:50,
U000001,U000415,2022-03-16 07:47:14,mentions
U000014,U000381,2025-04-26 10:57:47,all
U000001,U000928,2025-11-28 12:42:41,mentions
U000001,U000309,2025-03-06 13:13:06,all
U000001,U000654,2022-03-10 12:06:45,
U000012,U000209,2022-12-08 01:03:50,
U000001,U000126,2024-09-26 12:16:54,all
U000002,U000947,2022-02-05 13:17:47,none
U000001,U000711,2024-11-05 23:16:04,
U000003,U000683,2023-11-13 01:08:57,
U000007,U000760,2023-06-06 15:35:23,
U000001,U000465,2025-04-23 03:15:06,mentions
U000001,U000574,2022-11-08 02:13:47,
U000001,U000487,2022-05-04 00:32:51,all
U000045,U000891,2024-03-19 15:10:20,all
U000007,U000058,2025-11-15 21:51:21,
U000066,U000264,2025-01-05 12:51:20,none
U000001,U000877,2025-05-16 04:41:09,
U000044,U000992,2025-09-18 10:21:34,
U000001,U000599,2022-05-10 04:42:26,
U000001,U000806,2025-03-25 13:43:23,mentions
U000038,U000420,2022-03-11 18:19:10,all
U000001,U000694,2024-07-06 17:00:17,
U000001,U000177,2022-01-03 05:40:15,all
U000001,U000844,2024-09-20 17:04:28,mentions
U000001,U000447,2024-05-29 04:15:59,all
U000004,U000002,2023-08-20 18:07:56,none
U001000,U000471,2025-05-24 00:29:37,
U000001,U000793,2025-12-03 01:06:34,
U000001,U000955,2023-07-22 09:35:52,mentions
U000002,U000521,2024-06-13 07:18:27,none
U000004,U000848,2024-07-29 02:00:12,none
U000003,U000237,2022-03-09 00:28:13,mentions
U000001,U000584,2022-05-16 23:25:09,all
U000022,U000978,2025-06-28 23:14:42,mentions
U000001,U000878,2024-12-01 16:38:36,all
U000001,U000571,2022-10-05 13:16:06,all
U000001,U000158,2025-06-12 11:16:34,all
U000001,U000675,2022-12-20 10:48:59,none
U000002,U000633,2023-05-18 19:38:41,all
U000001,U000695,2024-12-02 14:17:55,mentions
U000002,U000294,2022-12-16 04:46:07,all
U000001,U000918,2022-10-06 14:23:32,none
U000001,U000916,2024-11-27 03:14:49,
U000001,U000553,2025-04-09 16:47:04,all
U000020,U000530,2025-08-05 14:54:05,
U000006,U000017,2023-03-09 03:08:13,
U000014,U000609,2024-05-05 19:09:26,all
U000014,U000494,2024-02-18 11:15:44,none
U000072,U000433,2024-11-09 03:57:17,mentions
U000008,U000625,2022-02-01 13:34:16,
U000001,U000175,2025-10-09 10:24:25,
U000003,U000106,2022-03-06 12:55:06,all
U000002,U000975,2025-04-09 12:19:55,none
U000009,U000793,2023-12-24 23:30:40,all
U000003,U000154,2022-10-19 11:24:54,
U000001,U000231,2022-05-31 08:43:37,all
U000008,U000921,2024-05-08 16:12:09,mentions
U000001,U000529,2023-07-05 10:54:42,
U000001,U000660,2023-08-07 08:33:59,mentions
U000007,U000599,2022-11-27 10:11:52,mentions
U000001,U000686,2023-01-30 18:25:55,
U000002,U000703,2025-10-26 11:27:38,all
U000001,U000962,2022-08-12 17:30:15,mentions
U000008,U000405,2022-09-05 08:28:34,
U000001,U000456,2024-02-17 03:56:25,
U000003,U000097,2022-08-28 10:03:08,mentions
U000003,U000960,2022-05-10 22:41:08,all
U000002,U000233,2023-11-02 16:09:15,none
U000001,U000968,2022-07-14 12:33:17,
U000001,U000267,2023-08-15 03:13:30,mentions
U000001,U000264,2025-01-06 19:44:22,all
U000001,U000732,2022-03-03 02:40:35,
U000012,U000930,2024-05-04 05:24:49,none
U000001,U000505,2022-03-29 02:10:00,mentions
U000212,U000180,2022-04-21 19:56:24,none
U000001,U000206,2024-12-13 18:39:22,
U000012,U000528,2025-01-02 23:51:16,mentions
U000006,U000538,2022-04-30 11:00:00,
U000002,U000860,2023-02-23 00:30:16,
U000007,U000752,2024-01-22 08:24:26,
U000001,U000054,2025-07-30 17:36:53,all
U000002,U000801,2022-12-08 01:33:29,all
U000001,U000466,2024-07-25 10:57:37,mentions
U000001,U000391,2024-08-18 06:04:14,mentions
U000048,U000365,2023-12-19 06:54:06,mentions
U000013,U000978,2023-08-28 10:08:23,
U000002,U000325,2022-02-24 19:07:20,all
U000001,U000341,2023-08-29 17:10:17,none
U000001,U000785,2024-10-23 02:23:32,all
U000001,U000547,2024-03-22 06:56:23,none
U000002,U000984,2024-07-07 05:48:16,
U000001,U000335,2024-08-11 23:54:32,none
U000001,U000852,2025-03-03 04:44:26,all
U000005,U000173,2024-07-18 01:51:41,none
U000004,U000123,2023-04-23 23:28:45,
U000001,U000045,2024-05-28 06:19:01,none
U000009,U000287,2023-02-27 02:27:22,none
U000003,U000362,2024-02-19 04:29:00,
U000001,U000137,2025-02-07 06:47:02,mentions
U000004,U000891,2025-05-28 00:27:50,all
U000006,U000458,2023-03-18 04:12:07,
U000001,U000872,2022-09-24 18:56:34,
U000001,U000457,2023-12-03 22:50:20,mentions
U000004,U000466,2025-04-26 22:13:33,mentions
U000005,U000115,2025-04-04 08:06:18,
U000002,U000311,2022-04-01 19:56:50,mentions
U000001,U000809,2023-02-24 06:35:54,none
U000003,U000044,2023-09-07 13:10:16,mentions
U000002,U000718,2024-02-25 01:00:59,none
U000002,U000864,2024-07-05 16:26:02,
U000002,U000830,2023-10-06 05:06:24,
U000012,U000770,2022-06-07 08:06:42,all
U000010,U000693,2023-03-31 06:24:52,all
U000003,U000230,2023-10-17 09:18:47,none
U000001,U000997,2025-10-13 04:02:50,
U000003,U000321,2025-04-09 00:23:33,all
U000001,U000201,2024-07-29 00:15:47,
U000006,U000861,2022-08-31 01:36:36,
U000001,U000959,2025-06-06 18:46:21,
U000002,U000276,2022-01-12 13:33:23,
U000003,U000256,2023-05-15 01:58:52,all
U000004,U000955,2022-09-20 05:18:48,mentions
U000005,U000030,2022-10-02 21:48:03,mentions
U000001,U000528,2022-08-11 08:04:03,none
U000002,U000790,2024-12-07 22:08:39,mentions
U000017,U000579,2022-05-24 12:33:40,none
U000002,U000142,2025-01-23 13:50:13,none
U000004,U000854,2023-10-18 15:20:27,all
U000001,U000147,2024-08-12 18:32:15,all
U000001,U000718,2024-04-13 18:14:57,none
U000001,U000592,2024-12-07 22:12:38,
U000001,U000183,2025-07-16 02:58:32,
U000001,U000851,2025-07-20 10:16:46,mentions
U000002,U000930,2025-09-23 04:49:25,
U000003,U000066,2024-10-06 13:19:24,
U000006,U000586,2024-11-29 12:15:57,none
U000005,U000041,2024-03-31 11:28:15,mentions
U000001,U000972,2022-08-30 13:22:46,mentions
U000004,U000839,2022-06-17 12:24:20,
U000001,U000601,2022-09-23 15:54:46,
U000001,U000084,2022-10-24 23:59:07,
U000007,U000685,2023-11-05 19:37:19,
U000001,U000180,2022-01-25 00:41:11,mentions
U000001,U000755,2022-02-01 09:09:43,
U000017,U000048,2023-07-03 05:47:47,all
U000003,U000309,2023-03-22 20:11:51,
U000002,U000135,2023-02-21 09:13:42,
U000002,U000950,2022-09-11 08:57:16,all
U000001,U000382,2023-09-20 11:45:57,
U000037,U000863,2022-09-01 13:55:45,mentions
U000002,U000748,2024-08-16 05:43:35,none
U000001,U000071,2022-02-14 03:28:20,none
U000002,U000295,2022-09-24 11:53:52,
U000001,U000982,2024-11-24 21:51:40,none
U000001,U000474,2025-07-11 04:51:59,mentions
U000012,U000450,2023-09-19 00:22:20,
U000006,U000670,2023-07-25 09:57:31,none
U000001,U000361,2023-01-10 18:04:34,
U000004,U000976,2022-09-03 21:24:37,none
U000005,U000451,2023-02-07 02:53:48,
U000003,U000063,2023-10-16 07:48:04,none
U000001,U000708,2024-09-30 18:54:04,mentions
U000002,U000610,2023-12-18 07:06:38,all
U000001,U000298,2024-12-08 22:34:38,mentions
U000001,U000629,2025-07-29 04:26:14,
U000001,U000510,2024-09-03 16:37:05,all
U000003,U000020,2023-11-02 06:35:10,
U000001,U000942,2022-03-27 00:21:36,
U000001,U000014,2024-12-18 19:41:55,
U000001,U000720,2023-11-09 03:21:11,all
U000001,U000120,2024-04-29 09:42:52,none
U000016,U000161,2023-12-30 04:28:37,all
U000002,U000257,2025-04-23 06:50:35,
U000001,U000696,2024-08-31 22:30:00,all
U000001,U000191,2025-10-25 20:22:58,none
U000003,U000640,2024-02-18 10:48:39,
U000002,U000154,2025-01-02 02:53:02,
U000001,U000265,2025-01-10 12:59:54,mentions
U000117,U000711,2023-10-20 23:31:52,mentions
U000003,U000935,2025-03-31 13:54:49,all
U000007,U000936,2025-08-06 04:26:24,none
U000017,U000290,2024-02-10 08:39:10,none
U000003,U000471,2022-03-20 16:11:47,all
U000001,U000025,2023-08-27 07:14:02,mentions
U000002,U000461,2024-04-09 04:28:00,none
U000001,U000129,2023-10-17 21:02:14,none
U000001,U000124,2023-11-21 21:28:11,
U000002,U000998,2023-05-28 11:47:34,all
U000001,U000385,2023-08-01 01:34:21,
U000001,U000325,2023-11-03 14:14:20,none
U000001,U000860,2022-07-27 18:25:31,all
U000002,U000531,2022-05-10 01:14:17,mentions
U000001,U000615,2024-09-04 18:50:35,
U000001,U000079,2023-04-28 10:21:53,
