TWEET,HASHTAG,position_in_tweet,is_promoted
T0000077,H00409,2,False
T0000078,H00471,1,False
T0000078,H00298,2,False
T0000078,H00446,3,False
T0000078,H00418,4,False
T0000079,H00119,1,False
T0000079,H00430,2,False
T0000080,H00059,1,False
T0000080,H00298,2,False
T0000080,H00281,3,False
T0000080,H00247,4,False
T0000080,H00164,5,False
T0000081,H00466,1,False
T0000082,H00497,1,True
T0000082,H00162,2,False
T0000082,H00018,3,False
T0000083,H00485,1,False
T0000083,H00474,2,False
T0000084,H00337,1,False
T0000085,H00152,1,False
T0000085,H00164,2,False
T0000085,H00409,3,False
T0000085,H00388,4,False
T0000085,H00119,5,False
T0000086,H00233,1,False
T0000086,H00388,2,False
T0000086,H00183,3,False
T0000087,H00223,1,False
T0000087,H00220,2,False
T0000087,H00003,3,False
T0000087,H00075,4,False
T0000088,H00208,1,False
T0000088,H00210,2,False
T0000088,H00233,3,True
T0000089,H00037,1,False
T0000090,H00402,1,False
T0000090,H00198,2,False
T0000091,H00030,1,False
T0000091,H00288,2,False
T0000091,H00253,3,False
T0000092,H00198,1,False
T0000092,H00121,2,False
T0000092,H00337,3,False
T0000092,H00497,4,False
T0000093,H00281,1,True
T0000093,H00208,2,False
T0000093,H00330,3,False
T0000094,H00042,1,False
T0000094,H00054,2,False
T0000094,H00181,3,False
T0000095,H00183,1,False
T0000095,H00322,2,False
T0000095,H00428,3,True
T0000095,H00344,4,False
T0000096,H00162,1,False
T0000096,H00059,2,False
T0000097,H00054,1,False
T0000097,H00469,2,False
T0000097,H00217,3,False
T0000097,H00190,4,False
T0000098,H00041,1,False
T0000098,H00166,2,False
T0000098,H00164,3,False
T0000099,H00388,1,False
T0000099,H00122,2,False
T0000099,H00446,3,False
T0000099,H00384,4,False
T0000100,H00221,1,False
T0000100,H00084,2,False
T0000101,H00196,1,False
T0000102,H00224,1,False
T0000103,H00321,1,False
T0000103,H00159,2,False
T0000103,H00451,3,False
T0000103,H00217,4,False
T0000104,H00374,1,False
T0000104,H00192,2,False
T0000105,H00306,1,False
T0000105,H00347,2,False
T0000106,H00140,1,False
T0000106,H00245,2,False
T0000106,H00451,3,False
T0000106,H00348,4,False
T0000107,H00194,1,True
T0000107,H00446,2,False
T0000107,H00343,3,False
T0000108,H00049,1,False
T0000108,H00011,2,False
T0000109,H00473,1,False
T0000109,H00308,2,False
T0000110,H00215,1,False
T0000110,H00217,2,False
T0000110,H00456,3,False
T0000111,H00442,1,False
T0000111,H00463,2,False
T0000111,H00225,3,False
T0000112,H00473,1,False
T0000112,H00171,2,False
T0000112,H00058,3,False
T0000113,H00347,1,False
T0000113,H00247,2,False
T0000113,H00343,3,False
T0000113,H00330,4,False
T0000113,H00217,5,False
T0000115,H00423,1,False
T0000115,H00442,2,False
T0000115,H00121,3,False
T0000116,H00024,1,False
T0000116,H00337,2,False
T0000116,H00428,3,False
T0000116,H00176,4,False
T0000117,H00190,1,False
T0000117,H00284,2,False
T0000117,H00024,3,False
T0000117,H00335,4,False
T0000117,H00305,5,False
T0000118,H00239,1,False
T0000118,H00369,2,False
T0000119,H00045,1,False
T0000119,H00245,2,False
T0000119,H00384,3,False
T0000119,H00252,4,False
T0000120,H00331,1,False
T0000120,H00326,2,True
T0000120,H00205,3,False
T0000121,H00351,1,False
T0000121,H00169,2,False
T0000122,H00084,1,False
T0000122,H00009,2,False
T0000122,H00267,3,False
T0000122,H00178,4,False
T0000123,H00247,1,False
T0000123,H00091,2,False
T0000124,H00030,1,False
T0000124,H00179,2,False
T0000124,H00095,3,False
T0000124,H00380,4,False
T0000125,H00344,1,False
T0000125,H00225,2,False
T0000125,H00188,3,False
T0000125,H00173,4,False
T0000125,H00005,5,False
T0000126,H00032,1,False
T0000126,H00030,2,False
T0000126,H00084,3,False
T0000127,H00247,1,False
T0000128,H00322,1,False
T0000128,H00205,2,False
T0000128,H00039,3,False
T0000128,H00485,4,False
T0000129,H00380,1,False
T0000129,H00321,2,False
T0000129,H00118,3,False
T0000130,H00111,1,False
T0000131,H00181,1,False
T0000131,H00226,2,False
T0000132,H00037,1,False
T0000132,H00171,2,False
T0000133,H00138,1,False
T0000133,H00159,2,False
T0000133,H00373,3,False
T0000133,H00497,4,False
T0000134,H00322,1,False
T0000134,H00478,2,False
T0000134,H00395,3,False
T0000135,H00267,1,False
T0000135,H00043,2,False
T0000135,H00073,3,False
T0000136,H00322,1,False
T0000136,H00470,2,False
T0000136,H00196,3,False
T0000137,H00043,1,False
T0000137,H00284,2,False
T0000137,H00176,3,False
T0000137,H00075,4,False
T0000138,H00009,1,False
T0000138,H00369,2,False
T0000138,H00284,3,False
T0000138,H00221,4,False
T0000139,H00042,1,False
T0000139,H00351,2,False
T0000139,H00109,3,False
T0000140,H00030,1,False
T0000141,H00386,1,False
T0000141,H00205,2,False
T0000141,H00218,3,False
T0000142,H00054,1,False
T0000142,H00358,2,False
T0000143,H00058,1,False
T0000143,H00470,2,False
T0000143,H00351,3,False
T0000143,H00054,4,False
T0000143,H00280,5,False
T0000144,H00395,1,False
T0000144,H00208,2,False
T0000144,H00279,3,False
T0000144,H00485,4,False
T0000144,H00399,5,False
T0000145,H00043,1,False
T0000145,H00049,2,False
T0000145,H00414,3,False
T0000147,H00140,1,False
T0000147,H00322,2,False
T0000148,H00171,1,False
T0000148,H00140,2,False
T0000148,H00268,3,False
T0000148,H00485,4,False
T0000148,H00218,5,False
T0000149,H00154,1,False
T0000149,H00381,2,False
T0000150,H00239,1,False
T0000150,H00041,2,False
T0000150,H00121,3,False
T0000151,H00463,1,False
T0000151,H00494,2,False
T0000152,H00462,1,True
T0000152,H00171,2,False
T0000152,H00020,3,False
T0000152,H00192,4,False
T0000153,H00095,1,False
T0000153,H00091,2,False
T0000153,H00049,3,False
T0000153,H00089,4,False
T0000153,H00103,5,False
T0000154,H00331,1,False
T0000154,H00253,2,False
T0000154,H00194,3,True
T0000155,H00472,1,False
T0000155,H00380,2,False
T0000155,H00344,3,False
T0000156,H00496,1,False
T0000156,H00006,2,False
T0000157,H00331,1,False
T0000157,H00417,2,False
T0000157,H00003,3,True
T0000157,H00279,4,False
T0000158,H00226,1,False
T0000158,H00268,2,False
T0000158,H00343,3,False
T0000159,H00381,1,False
T0000159,H00308,2,False
T0000159,H00323,3,False
T0000159,H00462,4,False
T0000160,H00205,1,False
T0000160,H00049,2,False
T0000160,H00111,3,False
T0000160,H00381,4,False
T0000160,H00143,5,False
T0000161,H00388,1,False
T0000161,H00281,2,False
T0000161,H00118,3,False
T0000161,H00221,4,False
T0000162,H00474,1,False
T0000162,H00409,2,False
T0000162,H00417,3,False
T0000163,H00010,1,True
T0000163,H00469,2,False
T0000163,H00231,3,False
T0000163,H00045,4,False
T0000163,H00423,5,False
T0000164,H00330,1,False
T0000164,H00171,2,False
T0000164,H00369,3,False
T0000165,H00232,1,False
T0000166,H00121,1,False
T0000166,H00343,2,False
T0000166,H00281,3,True
T0000166,H00203,4,False
T0000167,H00054,1,False
T0000167,H00169,2,False
T0000167,H00399,3,False
T0000167,H00045,4,False
T0000168,H00006,1,False
T0000169,H00044,1,False
T0000169,H00217,2,False
T0000169,H00433,3,False
T0000169,H00344,4,False
T0000170,H00278,1,False
T0000170,H00192,2,False
T0000170,H00121,3,False
T0000170,H00020,4,False
T0000170,H00358,5,False
T0000171,H00070,1,False
T0000171,H00470,2,False
T0000172,H00018,1,False
T0000172,H00070,2,False
T0000172,H00159,3,False
T0000173,H00089,1,False
T0000173,H00166,2,False
T0000174,H00347,1,False
T0000174,H00058,2,False
T0000174,H00252,3,False
T0000174,H00413,4,False
T0000175,H00198,1,False
T0000175,H00298,2,False
T0000175,H00374,3,False
T0000176,H00337,1,False
T0000176,H00416,2,False
T0000176,H00278,3,False
T0000177,H00280,1,True
T0000178,H00280,1,False
T0000178,H00466,2,False
T0000178,H00381,3,False
T0000178,H00469,4,False
T0000178,H00373,5,False
T0000179,H00330,1,False
T0000179,H00177,2,False
T0000179,H00095,3,False
T0000180,H00171,1,False
T0000180,H00386,2,False
T0000180,H00088,3,False
T0000180,H00334,4,False
T0000181,H00196,1,False
T0000181,H00348,2,False
T0000181,H00469,3,False
T0000182,H00088,1,False
T0000182,H00221,2,False
T0000182,H00196,3,False
T0000182,H00111,4,False
T0000183,H00399,1,False
T0000183,H00044,2,False
T0000184,H00423,1,False
T0000184,H00192,2,False
T0000185,H00388,1,False
T0000185,H00245,2,False
T0000186,H00321,1,False
T0000187,H00009,1,True
T0000187,H00223,2,False
T0000187,H00278,3,False
T0000188,H00030,1,False
T0000188,H00073,2,False
T0000188,H00121,3,False
T0000189,H00326,1,False
T0000190,H00321,1,False
T0000190,H00418,2,False
T0000190,H00089,3,False
T0000191,H00280,1,False
T0000191,H00084,2,False
T0000192,H00164,1,False
T0000192,H00337,2,False
T0000192,H00051,3,False
T0000192,H00326,4,False
T0000192,H00224,5,False
T0000193,H00217,1,False
T0000193,H00011,2,False
T0000193,H00018,3,False
T0000194,H00006,1,False
T0000194,H00223,2,True
T0000194,H00075,3,False
T0000194,H00369,4,False
T0000194,H00344,5,False
T0000195,H00208,1,False
T0000195,H00409,2,False
T0000196,H00279,1,False
T0000196,H00179,2,False
T0000197,H00347,1,False
T0000197,H00321,2,False
T0000198,H00024,1,False
T0000198,H00179,2,False
T0000199,H00308,1,False
T0000199,H00284,2,False
T0000199,H00164,3,False
T0000199,H00463,4,False
T0000200,H00463,1,False
T0000200,H00284,2,False
T0000201,H00181,1,False
T0000201,H00049,2,False
T0000202,H00258,1,False
T0000203,H00042,1,False
T0000203,H00054,2,False
T0000203,H00314,3,True
T0000203,H00221,4,False
T0000203,H00166,5,False
T0000204,H00487,1,False
T0000204,H00179,2,False
T0000204,H00416,3,False
T0000204,H00165,4,False
T0000204,H00181,5,False
T0000205,H00471,1,False
T0000205,H00225,2,False
T0000206,H00444,1,False
T0000206,H00058,2,False
T0000206,H00421,3,True
T0000207,H00252,1,False
T0000207,H00288,2,False
T0000207,H00095,3,False
T0000208,H00466,1,False
T0000209,H00322,1,False
T0000209,H00409,2,False
T0000209,H00371,3,False
T0000210,H00178,1,False
T0000211,H00278,1,False
T0000211,H00210,2,False
T0000211,H00203,3,False
T0000212,H00298,1,False
T0000213,H00442,1,False
T0000213,H00418,2,False
T0000213,H00178,3,False
T0000214,H00321,1,False
T0000215,H00281,1,False
T0000215,H00009,2,False
T0000215,H00169,3,False
T0000216,H00446,1,False
T0000216,H00196,2,False
T0000216,H00337,3,False
T0000216,H00253,4,False
T0000217,H00478,1,False
T0000217,H00470,2,False
T0000217,H00043,3,False
T0000218,H00239,1,False
T0000218,H00089,2,False
T0000218,H00095,3,False
T0000219,H00268,1,False
T0000221,H00198,1,False
T0000221,H00181,2,False
T0000222,H00485,1,False
T0000222,H00088,2,False
T0000222,H00395,3,False
T0000222,H00043,4,False
T0000223,H00323,1,False
T0000223,H00239,2,False
T0000223,H00045,3,False
T0000224,H00217,1,False
T0000225,H00143,1,False
T0000225,H00154,2,False
T0000225,H00073,3,False
T0000225,H00494,4,False
T0000226,H00444,1,False
T0000226,H00380,2,False
T0000226,H00091,3,False
T0000227,H00070,1,False
T0000227,H00305,2,False
T0000228,H00462,1,False
T0000228,H00347,2,False
T0000228,H00321,3,False
T0000228,H00284,4,False
T0000229,H00203,1,False
T0000229,H00280,2,False
T0000229,H00171,3,False
T0000229,H00484,4,False
T0000230,H00088,1,True
T0000230,H00485,2,False
T0000231,H00091,1,False
T0000231,H00041,2,False
T0000231,H00451,3,False
T0000232,H00402,1,False
T0000232,H00348,2,False
T0000233,H00267,1,False
T0000234,H00428,1,False
T0000234,H00418,2,False
T0000234,H00203,3,False
T0000234,H00414,4,False
T0000234,H00159,5,False
T0000235,H00190,1,False
T0000235,H00337,2,False
T0000235,H00258,3,False
T0000235,H00192,4,False
T0000236,H00381,1,False
T0000236,H00409,2,False
T0000237,H00343,1,False
T0000237,H00119,2,False
T0000237,H00314,3,False
T0000238,H00344,1,False
T0000238,H00039,2,False
T0000238,H00280,3,False
T0000239,H00095,1,True
T0000239,H00384,2,False
T0000240,H00011,1,False
T0000241,H00395,1,False
T0000241,H00469,2,True
T0000241,H00037,3,True
T0000241,H00119,4,False
T0000242,H00051,1,False
T0000242,H00258,2,False
T0000242,H00166,3,False
T0000242,H00064,4,False
T0000242,H00028,5,False
T0000243,H00413,1,False
T0000243,H00343,2,False
T0000243,H00006,3,False
T0000243,H00164,4,True
T0000244,H00373,1,False
T0000245,H00423,1,False
T0000245,H00119,2,False
T0000245,H00217,3,False
T0000245,H00073,4,False
T0000245,H00024,5,False
T0000246,H00075,1,False
T0000246,H00395,2,False
T0000246,H00496,3,False
T0000246,H00138,4,False
T0000246,H00414,5,False
T0000247,H00103,1,False
T0000247,H00147,2,False
T0000247,H00043,3,False
T0000247,H00179,4,True
T0000248,H00281,1,False
T0000248,H00386,2,False
T0000249,H00158,1,False
T0000249,H00088,2,False
T0000249,H00418,3,False
T0000250,H00171,1,False
T0000250,H00095,2,False
T0000250,H00369,3,False
T0000250,H00223,4,False
T0000250,H00496,5,False
T0000251,H00051,1,False
T0000251,H00018,2,True
T0000252,H00351,1,False
T0000253,H00121,1,False
T0000253,H00159,2,False
T0000253,H00054,3,False
T0000253,H00010,4,False
T0000254,H00322,1,False
T0000254,H00018,2,False
T0000255,H00194,1,False
T0000255,H00474,2,False
T0000255,H00041,3,False
T0000255,H00469,4,False
T0000255,H00192,5,False
T0000256,H00471,1,False
T0000256,H00089,2,False
T0000256,H00173,3,False
T0000257,H00088,1,False
T0000257,H00212,2,False
T0000257,H00418,3,False
T0000258,H00308,1,False
T0000258,H00232,2,False
T0000258,H00032,3,False
T0000258,H00269,4,False
T0000260,H00005,1,False
T0000260,H00470,2,False
T0000260,H00070,3,False
T0000260,H00267,4,False
T0000261,H00252,1,False
T0000261,H00478,2,False
T0000261,H00205,3,False
T0000262,H00121,1,False
T0000262,H00417,2,False
T0000262,H00451,3,False
T0000263,H00281,1,False
T0000263,H00371,2,False
T0000264,H00466,1,False
T0000264,H00279,2,False
T0000264,H00095,3,False
T0000264,H00192,4,False
T0000265,H00462,1,False
T0000265,H00205,2,False
T0000266,H00118,1,False
T0000266,H00466,2,False
T0000266,H00198,3,False
T0000267,H00496,1,False
T0000267,H00058,2,False
T0000268,H00456,1,False
T0000268,H00024,2,False
T0000268,H00347,3,False
T0000268,H00198,4,False
T0000268,H00217,5,False
T0000269,H00192,1,False
T0000269,H00284,2,False
T0000270,H00231,1,False
T0000270,H00414,2,False
T0000270,H00428,3,False
T0000270,H00358,4,False
T0000271,H00268,1,False
T0000271,H00225,2,False
T0000272,H00469,1,True
T0000272,H00485,2,False
T0000273,H00278,1,False
T0000273,H00215,2,False
T0000273,H00456,3,False
T0000274,H00337,1,False
T0000274,H00371,2,False
T0000274,H00423,3,False
T0000274,H00281,4,False
T0000275,H00224,1,False
T0000275,H00314,2,False
T0000275,H00059,3,False
T0000275,H00091,4,False
T0000276,H00373,1,False
T0000276,H00487,2,False
T0000276,H00433,3,False
T0000276,H00409,4,False
T0000276,H00478,5,False
T0000277,H00049,1,True
T0000278,H00005,1,False
T0000278,H00225,2,False
T0000278,H00162,3,False
T0000278,H00371,4,False
T0000278,H00305,5,True
T0000279,H00030,1,False
T0000280,H00054,1,False
T0000280,H00198,2,False
T0000280,H00471,3,False
T0000280,H00143,4,False
T0000281,H00322,1,False
T0000281,H00252,2,False
T0000282,H00018,1,False
T0000282,H00247,2,False
T0000282,H00075,3,False
T0000282,H00421,4,False
T0000283,H00469,1,False
T0000283,H00217,2,False
T0000283,H00111,3,False
T0000283,H00194,4,False
T0000283,H00177,5,False
T0000284,H00073,1,False
T0000284,H00122,2,False
T0000284,H00416,3,False
T0000285,H00380,1,False
T0000285,H00279,2,False
T0000285,H00496,3,False
T0000286,H00231,1,False
T0000286,H00323,2,False
T0000286,H00473,3,False
T0000286,H00196,4,False
T0000287,H00418,1,False
T0000287,H00011,2,False
T0000287,H00284,3,False
T0000287,H00122,4,False
T0000287,H00413,5,False
T0000288,H00058,1,False
T0000288,H00388,2,False
T0000288,H00417,3,False
T0000288,H00395,4,False
T0000289,H00049,1,False
T0000289,H00089,2,False
T0000289,H00466,3,False
T0000289,H00173,4,False
T0000289,H00041,5,False
T0000290,H00256,1,False
T0000290,H00003,2,False
T0000290,H00064,3,False
T0000291,H00073,1,False
T0000291,H00473,2,False
T0000291,H00215,3,False
T0000291,H00171,4,False
T0000292,H00485,1,False
T0000292,H00164,2,False
T0000292,H00388,3,False
T0000293,H00032,1,False
T0000293,H00451,2,False
T0000293,H00041,3,False
T0000294,H00158,1,False
T0000294,H00442,2,False
T0000294,H00497,3,False
T0000294,H00164,4,False
T0000295,H00005,1,False
T0000295,H00414,2,False
T0000295,H00006,3,False
T0000296,H00334,1,False
T0000296,H00059,2,False
T0000296,H00231,3,False
T0000296,H00070,4,False
T0000297,H00020,1,False
T0000297,H00044,2,False
T0000297,H00041,3,False
T0000297,H00091,4,False
T0000297,H00399,5,False
T0000298,H00323,1,False
T0000298,H00208,2,False
T0000299,H00423,1,False
T0000299,H00088,2,False
T0000299,H00032,3,False
T0000301,H00064,1,False
T0000301,H00245,2,False
T0000301,H00433,3,False
T0000302,H00423,1,False
T0000303,H00288,1,False
T0000303,H00203,2,False
T0000303,H00032,3,False
T0000303,H00051,4,False
T0000304,H00233,1,False
T0000304,H00428,2,False
T0000304,H00395,3,False
T0000304,H00039,4,False
T0000305,H00414,1,False
T0000305,H00154,2,False
T0000305,H00442,3,False
T0000305,H00462,4,False
T0000306,H00314,1,False
T0000306,H00159,2,False
T0000306,H00203,3,False
T0000307,H00044,1,True
T0000307,H00122,2,False
T0000307,H00239,3,False
T0000308,H00223,1,False
T0000308,H00045,2,False
T0000308,H00369,3,False
T0000309,H00326,1,False
T0000309,H00348,2,False
T0000309,H00247,3,True
T0000310,H00173,1,False
T0000310,H00166,2,False
T0000310,H00111,3,False
T0000310,H00414,4,False
T0000311,H00205,1,False
T0000311,H00140,2,False
T0000311,H00049,3,False
T0000311,H00147,4,False
T0000311,H00208,5,True
T0000312,H00402,1,True
T0000312,H00210,2,False
T0000312,H00039,3,False
T0000313,H00217,1,False
T0000314,H00183,1,False
T0000315,H00084,1,False
T0000315,H00343,2,False
T0000316,H00280,1,False
T0000316,H00005,2,False
T0000316,H00384,3,False
T0000317,H00305,1,False
T0000317,H00373,2,False
T0000318,H00451,1,False
T0000318,H00176,2,False
T0000318,H00037,3,False
T0000319,H00466,1,False
T0000320,H00496,1,False
T0000320,H00122,2,False
T0000321,H00348,1,False
T0000321,H00418,2,False
T0000321,H00226,3,False
T0000321,H00462,4,False
T0000322,H00343,1,False
T0000322,H00337,2,False
T0000322,H00190,3,False
T0000322,H00474,4,False
T0000322,H00369,5,False
T0000323,H00245,1,False
T0000323,H00373,2,False
T0000324,H00413,1,False
T0000324,H00088,2,False
T0000325,H00298,1,False
T0000325,H00321,2,False
T0000326,H00381,1,False
T0000326,H00451,2,False
T0000327,H00343,1,False
T0000327,H00198,2,False
T0000328,H00421,1,False
T0000329,H00442,1,False
T0000329,H00343,2,False
T0000329,H00224,3,False
T0000329,H00169,4,False
T0000329,H00374,5,False
T0000330,H00192,1,False
T0000330,H00344,2,False
T0000330,H00221,3,False
T0000331,H00024,1,False
T0000331,H00006,2,False
T0000332,H00308,1,False
T0000332,H00442,2,False
T0000333,H00147,1,False
T0000333,H00305,2,False
T0000333,H00258,3,False
T0000334,H00215,1,False
T0000334,H00233,2,False
T0000334,H00335,3,False
T0000334,H00474,4,False
T0000335,H00321,1,False
T0000335,H00165,2,False
T0000336,H00054,1,False
T0000336,H00118,2,True
T0000337,H00308,1,False
T0000337,H00140,2,False
T0000338,H00330,1,False
T0000339,H00497,1,False
T0000339,H00348,2,False
T0000339,H00245,3,False
T0000340,H00305,1,False
T0000340,H00177,2,False
T0000340,H00217,3,False
T0000341,H00109,1,False
T0000341,H00306,2,False
T0000341,H00006,3,False
T0000341,H00494,4,False
T0000342,H00064,1,False
T0000342,H00484,2,False
T0000342,H00456,3,False
T0000343,H00006,1,False
T0000343,H00326,2,False
T0000343,H00386,3,False
T0000343,H00245,4,False
T0000343,H00111,5,False
T0000344,H00395,1,False
T0000344,H00231,2,False
T0000344,H00380,3,False
T0000345,H00326,1,True
T0000345,H00064,2,False
T0000345,H00140,3,False
T0000345,H00103,4,False
T0000345,H00119,5,False
T0000346,H00399,1,False
T0000346,H00041,2,False
T0000346,H00223,3,False
T0000346,H00358,4,False
T0000346,H00122,5,False
T0000347,H00374,1,False
T0000347,H00154,2,False
T0000347,H00280,3,False
T0000347,H00472,4,True
T0000348,H00334,1,False
T0000348,H00226,2,False
T0000349,H00337,1,False
T0000349,H00058,2,False
T0000349,H00194,3,False
T0000351,H00306,1,False
T0000351,H00152,2,False
T0000351,H00413,3,False
T0000352,H00173,1,False
T0000352,H00224,2,False
T0000353,H00011,1,False
T0000354,H00158,1,False
T0000354,H00075,2,False
T0000354,H00388,3,False
T0000354,H00218,4,False
T0000355,H00173,1,True
T0000355,H00024,2,False
T0000355,H00284,3,False
T0000355,H00469,4,False
T0000356,H00011,1,False
T0000356,H00045,2,False
T0000356,H00224,3,False
T0000356,H00421,4,False
T0000356,H00111,5,True
T0000357,H00044,1,False
T0000357,H00043,2,False
T0000357,H00059,3,False
T0000358,H00205,1,False
T0000358,H00218,2,False
T0000359,H00225,1,False
T0000359,H00084,2,False
T0000360,H00231,1,False
T0000360,H00478,2,False
T0000360,H00442,3,False
T0000361,H00323,1,False
T0000361,H00343,2,False
T0000362,H00308,1,False
T0000362,H00147,2,False
T0000362,H00190,3,False
T0000362,H00239,4,False
T0000362,H00474,5,False
T0000363,H00322,1,False
T0000363,H00058,2,True
