USER,TWEET,posted_at,device_type,location_coordinates
U000649,T0000045,2023-06-07 15:28:11,iPad,"29.884112,-120.368642"
U000863,T0000046,2023-12-12 05:24:55,Windows,
U000929,T0000047,2023-10-21 10:43:29,Web,"11.9514405,95.032482"
U000133,T0000048,2023-10-30 20:56:59,Web,
U000615,T0000049,2023-05-17 22:37:38,Mac,"13.8193325,-170.221297"
U000766,T0000050,2023-06-17 23:22:39,iPad,
U000639,T0000051,2023-01-04 15:50:16,iPhone,
U000358,T0000052,2022-04-10 03:51:47,iPhone,"-83.814756,-2.388362"
U000008,T0000053,2024-03-06 12:20:01,Mac,
U000381,T0000054,2024-04-24 00:50:40,Mac,
U000124,T0000055,2022-12-22 09:28:03,Mac,
U000538,T0000056,2023-11-15 09:32:20,,"39.4585915,-121.806840"
U000030,T0000057,2025-07-01 23:36:59,iPad,
U000897,T0000058,2022-12-22 05:31:23,Web,
U000224,T0000059,2025-09-27 20:10:22,,"31.4190175,-87.716058"
U000031,T0000060,2022-11-27 01:22:32,iPhone,"-80.1502345,-130.541595"
U000418,T0000061,2024-08-21 19:19:28,Android,"-89.6860865,147.695960"
U000596,T0000062,2025-05-31 15:59:28,Android,"-43.4758125,-28.927153"
U000479,T0000063,2023-09-06 21:54:51,iPad,
U000808,T0000064,2022-05-12 12:02:04,iPad,"89.313822,-32.086918"
U000254,T0000065,2025-10-14 13:05:11,Android,"50.515530,61.309186"
U000803,T0000066,2025-07-21 00:09:23,iPad,
U000151,T0000067,2025-02-26 01:51:37,Windows,"-80.4453995,-23.002176"
U000838,T0000068,2024-09-04 19:15:41,iPhone,
U000447,T0000069,2025-10-25 08:06:07,,"3.7193045,-77.082826"
U000895,T0000070,2023-10-21 02:58:48,iPhone,
U000269,T0000071,2023-03-25 17:16:25,iPad,
U000208,T0000072,2025-07-14 17:21:09,,"1.966648,66.388226"
U000270,T0000073,2022-03-21 16:16:05,Web,
U000277,T0000074,2022-11-01 06:38:49,iPad,"84.566606,-36.199788"
U000350,T0000075,2023-03-17 01:19:29,,"-57.054289,-59.208269"
U000776,T0000076,2024-08-31 20:27:19,Windows,
U000030,T0000077,2025-09-06 21:35:47,Mac,
U000482,T0000078,2024-03-24 10:02:31,,
U000717,T0000079,2025-03-18 13:33:59,iPhone,"76.9313055,-158.465478"
U000245,T0000080,2022-09-28 19:04:04,iPad,"70.0716665,-102.965030"
U000584,T0000081,2023-05-19 14:45:25,,
U000373,T0000082,2022-07-14 23:02:11,Mac,"-49.859181,-44.092076"
U000689,T0000083,2024-08-11 16:01:02,,"-13.2720765,79.209667"
U000936,T0000084,2022-12-23 02:41:12,iPad,"-48.9472395,-146.399181"
U000343,T0000085,2025-09-25 15:59:35,,"40.6780955,154.780409"
U000777,T0000086,2023-04-01 11:31:55,,"68.813769,80.688203"
U000657,T0000087,2022-11-13 22:19:01,iPhone,"-62.033704,-23.007478"
U000508,T0000088,2025-02-13 21:37:56,,
U000551,T0000089,2023-01-20 20:27:16,Web,
U000525,T0000090,2025-07-29 16:38:36,iPhone,
U000788,T0000091,2022-06-08 19:37:53,Android,
U000676,T0000092,2024-02-12 19:45:46,Windows,
U000269,T0000093,2023-09-23 10:16:42,,
U000194,T0000094,2025-10-17 12:44:39,,
U000519,T0000095,2023-06-20 11:10:52,Windows,"-85.1119475,-46.187952"
U000263,T0000096,2022-12-27 09:21:42,iPhone,
U000334,T0000097,2024-12-07 10:38:31,Mac,"76.3108615,-53.923190"
U000274,T0000098,2024-03-13 15:02:43,Mac,"-76.7850775,160.198444"
U000324,T0000099,2024-11-04 18:05:40,Mac,
U000191,T0000100,2023-03-03 15:39:02,iPhone,
U000447,T0000101,2024-06-15 02:09:37,,"17.501912,126.887765"
U000434,T0000102,2023-01-05 22:42:42,iPhone,
U000212,T0000103,2024-08-23 01:29:40,Windows,
U000971,T0000104,2024-09-13 16:43:26,Mac,
U000022,T0000105,2024-11-12 16:26:26,Android,"-34.0605505,5.815205"
U000988,T0000106,2023-02-25 19:05:01,Web,"59.4943455,-166.234315"
U000031,T0000107,2022-10-24 03:29:45,Windows,"-27.086284,36.946134"
U000282,T0000108,2024-09-21 02:59:21,iPhone,"-77.057730,86.076472"
U000214,T0000109,2022-06-13 18:57:28,iPhone,
U000644,T0000110,2022-03-03 20:50:52,Android,
U000335,T0000111,2024-04-06 22:42:48,,
U000681,T0000112,2025-04-23 22:33:33,Android,"-85.539274,-85.615614"
U000710,T0000113,2025-08-24 04:51:16,Mac,
U000309,T0000114,2023-09-12 03:44:05,,"18.1540075,-84.956199"
U000932,T0000115,2025-02-11 01:02:42,Web,
U000460,T0000116,2024-12-16 00:24:54,Mac,
U000498,T0000117,2024-11-23 04:34:42,Android,"-85.755301,1.986512"
U000767,T0000118,2023-09-17 06:51:31,,"-28.0524395,-0.630292"
U000697,T0000119,2024-02-24 11:15:12,Mac,"-20.4934445,36.309115"
U000087,T0000120,2023-09-09 21:26:35,iPad,
U000784,T0000121,2024-06-05 22:51:39,Android,
U000135,T0000122,2023-02-23 06:58:14,iPhone,"52.4458805,90.094272"
U000372,T0000123,2025-09-30 22:55:57,iPad,"35.365756,136.398794"
U000803,T0000124,2021-12-27 22:37:58,Windows,
U000606,T0000125,2023-04-16 12:30:24,,
U000589,T0000126,2025-02-21 16:58:58,Windows,"9.210767,83.380894"
U000866,T0000127,2024-01-13 05:54:06,Windows,"-64.9655595,-32.655598"
U000692,T0000128,2023-11-14 06:58:30,iPhone,"56.0223955,143.300885"
U000525,T0000129,2024-05-30 11:39:37,Mac,"-19.657157,151.037243"
U000866,T0000130,2025-10-24 14:02:36,iPhone,"-80.6792425,-115.283745"
U000262,T0000131,2022-01-01 22:56:02,Windows,
U000341,T0000132,2022-12-28 14:03:37,,"48.5079665,30.046302"
U000953,T0000133,2025-07-31 11:16:51,Web,"-72.2120975,119.396407"
U000957,T0000134,2025-11-07 17:39:06,,"17.904270,-129.574855"
U000520,T0000135,2022-06-22 08:50:25,Android,"-52.734476,-27.904237"
U000795,T0000136,2024-06-12 07:51:30,iPad,"68.194548,68.817172"
U000509,T0000137,2023-07-24 14:53:47,Web,
U000379,T0000138,2025-10-28 11:24:56,Windows,
U000459,T0000139,2024-06-06 14:11:00,,
U000831,T0000140,2022-06-08 19:15:56,Mac,
U000064,T0000141,2024-03-11 12:00:24,Web,"14.675667,104.072401"
U000292,T0000142,2025-08-27 11:41:31,Web,"22.2393805,-177.569542"
U000473,T0000143,2023-08-22 06:15:34,Windows,"4.4247985,86.488737"
U000437,T0000144,2022-04-09 11:38:51,,"31.6354725,157.356047"
U000432,T0000145,2022-07-26 14:42:08,iPad,
U000601,T0000146,2025-02-27 01:03:40,iPhone,"17.3380035,-51.358238"
U000442,T0000147,2022-11-10 00:57:07,Mac,
U000127,T0000148,2024-11-08 10:46:41,Android,
U000407,T0000149,2023-07-12 01:25:27,iPhone,"-26.479057,-45.150736"
U000972,T0000150,2024-01-04 16:12:52,,"-38.7722035,-134.459346"
U000509,T0000151,2024-06-26 02:50:13,Windows,
U000984,T0000152,2022-01-25 12:35:03,Mac,
U000365,T0000153,2022-03-17 05:23:11,Web,"47.681513,81.237560"
U000446,T0000154,2025-08-01 10:30:06,iPhone,
U000994,T0000155,2024-02-15 13:29:16,Android,
U000674,T0000156,2022-04-22 08:08:53,iPad,
U000777,T0000157,2024-10-13 23:55:21,,"-49.4723535,-116.210325"
U000094,T0000158,2024-02-09 02:14:56,,
U000301,T0000159,2025-08-27 09:16:24,iPad,
U000697,T0000160,2025-07-23 16:03:13,Web,
U000598,T0000161,2022-07-18 07:51:33,iPad,"-68.6585645,2.672602"
U000798,T0000162,2023-11-26 12:41:47,Windows,"-44.2865975,62.131308"
U000685,T0000163,2025-10-08 21:34:18,iPhone,"25.722341,75.148072"
U000905,T0000164,2023-11-27 20:48:15,Mac,"-22.5438215,91.803443"
U000026,T0000165,2024-08-13 02:28:08,iPhone,
U000566,T0000166,2022-03-18 16:09:08,,
U000862,T0000167,2022-05-16 22:18:42,iPhone,
U000034,T0000168,2022-05-12 04:19:27,Android,"-2.946720,2.147173"
U000725,T0000169,2023-11-23 04:17:33,Mac,
U000044,T0000170,2022-09-26 10:20:48,,
U000242,T0000171,2023-12-24 19:09:30,Windows,
U000671,T0000172,2022-07-09 21:48:52,iPhone,"24.1189115,96.379166"
U000541,T0000173,2022-12-29 05:07:04,iPad,"13.995952,-46.116448"
U000423,T0000174,2023-06-02 01:01:09,iPad,
U000280,T0000175,2023-06-17 10:29:17,Android,"13.517125,110.714694"
U000307,T0000176,2021-12-16 19:27:26,iPhone,
U000785,T0000177,2024-04-07 21:29:06,Web,
U000836,T0000178,2024-02-06 11:14:21,Web,"79.9257735,-95.664522"
U000664,T0000179,2023-04-15 18:02:40,Windows,"-11.1999575,141.823090"
U000614,T0000180,2023-03-13 19:56:40,iPad,
U000667,T0000181,2023-08-04 05:58:52,iPhone,"44.2318935,150.949510"
U000455,T0000182,2023-03-17 14:04:57,Web,
U000319,T0000183,2023-10-29 20:57:03,iPad,"39.3314895,-175.031716"
U000973,T0000184,2024-03-18 22:37:26,Mac,
U000632,T0000185,2022-05-07 15:53:35,Android,
U000828,T0000186,2022-03-17 14:59:08,Web,"-73.593270,-125.320823"
U000286,T0000187,2024-09-09 20:49:36,,
U000813,T0000188,2022-02-01 22:21:29,iPhone,"-32.7943045,-147.944477"
U000825,T0000189,2024-11-06 05:36:47,Mac,
U000828,T0000190,2021-12-05 21:03:04,iPhone,"-46.608311,-116.463751"
U000860,T0000191,2023-01-22 21:33:45,,"-7.9714655,-140.846759"
U000681,T0000192,2024-04-13 15:21:08,Windows,"-22.6723815,58.541543"
U000273,T0000193,2025-03-13 01:49:05,iPad,
U000232,T0000194,2024-09-04 10:35:54,Android,
U000277,T0000195,2025-11-07 16:34:13,,
U000209,T0000196,2023-07-25 13:22:15,iPad,"-13.5349585,62.547772"
U000534,T0000197,2023-09-11 06:56:25,iPad,
U000807,T0000198,2022-03-15 18:50:06,Mac,
U000911,T0000199,2022-12-22 06:13:34,iPad,"68.6164395,-64.924407"
U000683,T0000200,2023-08-11 10:35:43,Web,"67.685299,167.396216"
U000395,T0000201,2024-12-31 11:40:28,iPhone,
U000069,T0000202,2023-07-15 00:39:35,Android,"7.9193795,-132.389575"
U000491,T0000203,2025-09-07 21:36:06,Web,"-72.8132535,155.164182"
U000271,T0000204,2024-05-12 22:29:37,iPad,"84.484616,-35.109636"
U000038,T0000205,2022-12-07 17:24:10,iPhone,
U000198,T0000206,2025-05-05 21:12:52,,
U000090,T0000207,2023-08-05 01:50:32,Mac,
U000733,T0000208,2022-08-06 14:33:44,,
U000085,T0000209,2023-01-15 20:01:13,iPhone,"-53.817336,149.843663"
U000687,T0000210,2024-05-25 18:33:15,iPhone,"22.1815055,46.189646"
U000643,T0000211,2024-04-11 03:00:29,,
U000561,T0000212,2025-03-15 09:35:35,Mac,
U000193,T0000213,2023-05-13 13:35:38,Android,"24.551981,22.283891"
U000952,T0000214,2025-09-13 12:58:14,iPad,
U000191,T0000215,2025-05-01 14:02:25,Windows,"-7.834595,-34.172152"
U000799,T0000216,2025-07-12 13:46:58,Android,
U000042,T0000217,2023-11-28 13:21:14,Windows,"4.3214465,60.309621"
U000080,T0000218,2022-02-16 15:53:47,iPad,
U000130,T0000219,2022-04-08 14:41:49,Mac,
U000859,T0000220,2022-10-30 08:00:24,Web,"-12.991002,111.985260"
U000371,T0000221,2025-08-20 20:00:16,iPhone,
U000020,T0000222,2023-11-03 01:10:30,Web,"-48.591661,19.657718"
U000981,T0000223,2024-12-24 12:11:10,,
U000516,T0000224,2025-07-27 12:26:40,iPhone,
U000643,T0000225,2022-10-20 16:36:34,Windows,"-34.007669,-139.428034"
U000127,T0000226,2022-09-29 07:55:42,iPad,
U000157,T0000227,2022-07-02 05:06:44,Android,
U000467,T0000228,2022-09-06 00:41:27,Android,"59.619858,110.275186"
U000458,T0000229,2025-06-19 12:36:06,Android,
U000625,T0000230,2024-01-19 04:47:03,,
U000184,T0000231,2023-04-16 23:40:07,iPad,
U000180,T0000232,2024-01-10 14:50:50,iPad,
U000365,T0000233,2024-04-11 16:46:30,iPhone,
U000465,T0000234,2023-06-05 06:10:33,Web,
U000143,T0000235,2024-01-12 17:32:08,Windows,
U000485,T0000236,2022-04-15 00:04:36,Android,
U000008,T0000237,2024-11-17 08:22:40,,"27.362043,-87.804315"
U000866,T0000238,2022-06-15 19:29:53,Windows,"-63.9456855,-23.088798"
U000043,T0000239,2024-11-15 03:12:55,iPhone,
U000792,T0000240,2022-09-20 04:16:22,,
U000094,T0000241,2022-01-26 17:58:21,iPad,"10.539815,-34.781352"
U000830,T0000242,2024-10-05 08:50:17,,
U000193,T0000243,2023-07-13 21:14:53,Android,"52.5916405,51.957221"
U000018,T0000244,2023-04-01 07:24:25,Web,
U000597,T0000245,2022-07-30 10:46:49,iPhone,"-70.377584,70.222911"
U000485,T0000246,2024-12-10 01:48:09,iPad,"25.9080015,173.221839"
U000882,T0000247,2025-01-03 02:02:46,,
U000181,T0000248,2022-04-05 22:19:12,Web,
U000343,T0000249,2025-08-12 20:13:11,Windows,
U000026,T0000250,2022-08-21 18:44:28,,
U000331,T0000251,2022-03-20 00:17:27,Mac,"-49.418665,19.974729"
U000101,T0000252,2025-11-22 16:15:30,,
U000794,T0000253,2025-01-10 13:13:01,Android,
U000783,T0000254,2022-08-06 02:26:51,Web,
U000717,T0000255,2022-08-25 20:21:16,iPad,
U000123,T0000256,2024-12-17 22:21:02,Web,
U000034,T0000257,2023-06-07 04:53:12,Android,
U000849,T0000258,2024-07-23 20:18:23,Web,
U000189,T0000259,2024-01-03 09:10:26,Windows,"-51.7602705,137.973345"
U000921,T0000260,2024-06-20 12:16:12,Android,"-21.158214,48.037442"
U000643,T0000261,2025-10-20 17:44:03,Windows,
U000861,T0000262,2024-06-05 01:20:44,Web,
U000388,T0000263,2023-07-06 19:07:05,Web,
U000506,T0000264,2022-06-01 00:47:31,Android,"-88.2705885,136.680858"
U000245,T0000265,2024-12-22 05:48:11,,"30.143854,-176.009835"
U000703,T0000266,2023-03-06 02:15:14,Web,"-27.515003,0.962321"
U000794,T0000267,2023-03-15 04:20:32,Mac,
U000076,T0000268,2024-03-14 15:23:05,Android,"-10.8370495,-10.651609"
U000660,T0000269,2023-03-06 00:48:41,Mac,"-53.528461,70.638097"
U000741,T0000270,2022-06-27 10:17:18,iPad,
U000645,T0000271,2023-02-03 06:18:58,Web,"84.003269,165.381569"
U000343,T0000272,2025-10-11 07:39:33,Web,
U000873,T0000273,2024-07-22 06:15:17,iPad,
U000402,T0000274,2025-04-14 10:52:16,,
U000664,T0000275,2022-07-08 05:33:52,Android,"-59.0429545,-39.155814"
U000461,T0000276,2022-11-17 01:51:41,,"-85.841876,-152.466560"
U000027,T0000277,2025-01-10 07:48:08,Windows,"-61.9312885,156.929772"
U000839,T0000278,2022-05-03 14:35:01,iPhone,"11.4713485,-132.435067"
U000886,T0000279,2022-08-14 02:59:00,,
U000908,T0000280,2025-07-12 23:47:37,,
U000604,T0000281,2023-06-11 06:34:36,Mac,
U000670,T0000282,2024-11-23 14:44:00,iPhone,"-48.277669,8.839541"
U000512,T0000283,2022-05-15 14:16:32,Windows,
U000477,T0000284,2024-09-16 21:18:05,iPad,
U000138,T0000285,2024-04-23 06:34:47,Mac,
U000108,T0000286,2022-11-03 10:48:25,iPad,"-44.440021,68.692558"
U000615,T0000287,2024-06-01 18:28:50,Web,
U000461,T0000288,2022-12-05 02:21:39,Web,"4.5794875,-52.348070"
U000713,T0000289,2022-12-11 21:52:04,Windows,
U000172,T0000290,2022-01-12 19:40:02,,
U000865,T0000291,2025-03-13 01:51:12,,
U000877,T0000292,2023-09-01 08:48:50,Mac,"-23.957313,137.747868"
U000817,T0000293,2022-06-17 11:21:17,Mac,"66.5323645,171.925145"
U000361,T0000294,2021-12-28 13:51:04,,
U000479,T0000295,2022-09-03 07:22:37,Windows,"37.4007205,-113.705402"
U000194,T0000296,2022-02-08 04:12:55,iPhone,"70.314217,-163.424976"
U000502,T0000297,2024-12-06 11:27:28,Web,"19.6909035,-40.211114"
U000289,T0000298,2022-10-04 02:32:51,Mac,
U000629,T0000299,2022-10-01 23:32:39,Windows,"33.9579225,-174.239376"
U000564,T0000300,2025-04-06 12:48:09,Mac,
U000593,T0000301,2023-08-16 19:23:06,iPhone,
U000037,T0000302,2022-01-02 02:16:06,Mac,
U000914,T0000303,2022-11-04 03:42:18,Windows,"-1.576283,-139.709610"
U000830,T0000304,2022-09-05 09:59:21,Mac,
U000600,T0000305,2025-07-09 16:41:02,Android,
U000218,T0000306,2024-06-29 18:32:07,Android,"60.3795485,-0.608809"
U000222,T0000307,2023-09-05 15:59:29,,"-60.322520,-112.755850"
U000528,T0000308,2022-12-25 14:03:14,Windows,"31.416222,-15.280870"
U000242,T0000309,2025-11-18 04:18:49,Web,
U000055,T0000310,2025-09-20 06:44:06,,"-21.076885,144.228377"
U000980,T0000311,2024-05-29 11:34:48,iPad,"33.2900145,30.638097"
U000572,T0000312,2024-09-18 15:45:50,,"-15.1652075,-165.681626"
U000202,T0000313,2025-05-03 22:45:01,Web,
U000997,T0000314,2025-06-26 21:01:07,,
U000085,T0000315,2023-12-08 10:38:53,iPad,"52.569924,178.462271"
U000956,T0000316,2023-11-29 03:55:45,,
U000703,T0000317,2024-11-28 19:35:10,iPad,
U000664,T0000318,2023-01-11 15:45:54,,
U000677,T0000319,2021-12-15 23:17:51,iPad,"19.190597,-72.907365"
U000470,T0000320,2024-10-19 05:36:44,iPhone,"27.694161,-123.590584"
U000217,T0000321,2025-01-20 13:02:17,Web,
U000948,T0000322,2023-03-27 09:44:53,iPhone,"-33.1963095,71.319529"
U000033,T0000323,2025-08-20 16:08:30,Android,"-34.5068015,-30.227534"
U000052,T0000324,2025-08-20 20:10:18,Mac,
U000390,T0000325,2025-01-20 14:13:45,Web,
U000428,T0000326,2025-11-06 03:05:01,,"29.027690,64.589465"
U000591,T0000327,2022-04-19 13:18:42,,"28.3930035,37.733076"
U000810,T0000328,2024-07-25 03:27:44,iPhone,"-49.9602995,67.005937"
U000333,T0000329,2025-08-17 08:32:14,,"-58.9539625,-56.233127"
U000793,T0000330,2025-03-15 19:28:09,Windows,"-59.6938885,42.029749"
U000109,T0000331,2025-08-14 20:29:25,,"-54.598287,121.154881"
U000879,T0000332,2025-11-24 23:21:39,Windows,"-26.6344915,135.678330"
U000198,T0000333,2022-09-20 01:07:16,Mac,
U000002,T0000334,2025-08-27 13:42:22,,
U000626,T0000335,2022-03-29 17:34:44,Mac,"-35.110834,95.367159"
U000160,T0000336,2023-08-10 23:13:26,Windows,"-38.2940025,-178.745902"
U000995,T0000337,2025-04-22 07:48:51,Android,"-6.5152415,138.297244"
U000910,T0000338,2023-07-07 08:04:20,iPhone,
U000039,T0000339,2025-04-01 08:05:00,Web,
U000659,T0000340,2024-05-22 22:10:36,,"-64.870302,-95.510963"
U000862,T0000341,2025-10-18 21:02:27,Windows,
U000853,T0000342,2024-11-25 19:00:10,Web,
U000004,T0000343,2025-06-24 03:12:01,iPhone,"43.756151,-159.533382"
U000257,T0000344,2025-02-13 19:41:23,Mac,"58.854066,71.658967"
U000680,T0000345,2025-06-08 17:44:17,Web,
U000086,T0000346,2025-03-04 13:05:05,Android,"29.330050,10.120734"
U000395,T0000347,2023-02-19 20:17:50,iPhone,"17.988902,97.443407"
U000949,T0000348,2022-09-11 12:35:02,,
U000428,T0000349,2023-07-31 05:47:01,,"-85.105071,10.383249"
U000539,T0000350,2025-08-18 01:24:56,iPhone,
U000793,T0000351,2021-12-04 17:42:46,iPad,
U000266,T0000352,2024-07-25 16:49:41,Windows,
U000935,T0000353,2022-04-02 14:19:37,,
U000347,T0000354,2024-06-25 23:36:32,iPad,"-5.013470,-170.590738"
U000346,T0000355,2023-06-21 21:33:30,Windows,"49.0669635,118.067773"
U000978,T0000356,2022-10-14 00:56:07,Web,
U000202,T0000357,2024-10-26 01:55:15,Web,
U000963,T0000358,2021-12-12 03:57:23,iPhone,
U000778,T0000359,2025-02-12 02:12:43,Mac,
U000102,T0000360,2022-09-21 01:25:54,Windows,
U000061,T0000361,2025-09-02 18:21:49,Android,"-23.5013155,-33.239512"
U000183,T0000362,2023-02-04 18:24:11,,"-12.2304615,104.135051"
U000659,T0000363,2022-09-19 02:23:37,Windows,
U000933,T0000364,2025-05-18 15:42:59,Mac,
U000008,T0000365,2025-03-03 22:14:22,Android,"-42.5657555,-40.197931"
U000711,T0000366,2023-09-07 10:03:05,Mac,"-19.6943745,-155.742464"
U000292,T0000367,2021-12-15 23:32:31,,
U000849,T0000368,2024-01-18 19:53:18,,"1.504791,-135.472705"
U000310,T0000369,2025-02-25 13:19:51,Android,
U000663,T0000370,2024-08-18 02:13:29,Web,
U000526,T0000371,2023-08-07 09:51:59,iPad,
U000557,T0000372,2022-10-16 15:07:05,,"-41.634450,84.015514"
U000963,T0000373,2022-10-11 13:56:19,iPhone,
U000909,T0000374,2023-07-30 03:06:36,Mac,"-22.502812,-11.999925"
U000320,T0000375,2023-01-19 03:07:46,Windows,"-39.7122035,-165.679316"
U000931,T0000376,2025-03-04 07:49:47,Android,"-13.424310,128.412373"
U000574,T0000377,2024-11-10 21:57:31,iPhone,
U000904,T0000378,2021-12-29 01:00:43,,
U000899,T0000379,2022-04-27 09:24:18,Android,"-10.9722025,55.017342"
U000188,T0000380,2023-07-02 11:36:02,Windows,"-5.6896855,-163.375392"
U000152,T0000381,2022-04-01 01:04:54,Windows,"-69.444773,-56.355269"
U000966,T0000382,2025-07-24 20:12:41,iPhone,"65.5069895,-15.081482"
U000162,T0000383,2025-09-13 04:20:45,,
U000856,T0000384,2024-08-31 18:12:52,Web,
U000452,T0000385,2023-01-13 10:24:30,,
U000634,T0000386,2022-12-04 20:43:26,Android,"-41.964716,150.481387"
U000677,T0000387,2025-01-04 08:50:44,Mac,
U000922,T0000388,2022-07-15 09:58:10,iPad,"58.781253,-82.803303"
U000995,T0000389,2025-07-25 05:05:44,iPad,
U000041,T0000390,2023-02-14 02:33:23,Web,
U000705,T0000391,2023-08-04 18:20:31,,
U000037,T0000392,2024-01-20 04:58:43,Web,
U000990,T0000393,2023-04-15 07:02:34,Web,"-42.174614,22.214428"
U000141,T0000394,2023-11-19 18:56:38,Android,
U000067,T0000395,2022-10-12 17:36:03,Windows,"59.4837265,-167.478445"
U000213,T0000396,2022-04-01 20:22:29,iPad,"-0.0756545,60.744070"
U000742,T0000397,2024-10-19 00:56:14,Windows,"82.561223,-115.580884"
U000327,T0000398,2022-11-07 05:14:07,Android,"-15.566253,7.665204"
U000565,T0000399,2023-11-13 15:04:43,,"6.2217005,-4.125190"
U000930,T0000400,2025-04-20 18:19:16,Android,"-26.2283855,165.408812"
U000796,T0000401,2022-09-03 02:03:10,Mac,"1.437533,108.200259"
U000490,T0000402,2023-08-14 13:36:07,Windows,"80.5547975,132.005657"
U000667,T0000403,2025-05-08 23:18:04,Web,"-27.9539035,168.662317"
U000667,T0000404,2025-02-05 02:49:46,Mac,"-30.400807,0.809086"
U000241,T0000405,2023-08-15 13:39:29,,
U000593,T0000406,2023-06-06 07:21:36,Windows,
U000256,T0000407,2022-06-09 23:37:10,iPad,"4.9853285,-124.829841"
U000835,T0000408,2022-07-22 03:25:25,Windows,
U000007,T0000409,2023-06-17 07:29:52,Mac,"-55.4208565,33.968041"
U000580,T0000410,2024-03-13 04:00:25,Mac,"-65.6646055,136.258831"
U000410,T0000411,2023-08-29 11:42:20,,
U000427,T0000412,2022-07-02 19:20:26,,
U000832,T0000413,2022-12-03 09:32:48,Mac,
U000843,T0000414,2022-07-31 15:22:03,Web,"-40.066993,-163.180210"
U000176,T0000415,2022-06-11 06:23:20,,
U000104,T0000416,2023-05-28 11:59:40,,"-89.8110095,-30.009560"
U000036,T0000417,2024-11-15 09:22:23,Mac,
U000596,T0000418,2023-06-29 20:19:38,Windows,"67.1862225,58.333413"
U000766,T0000419,2023-05-29 09:28:49,iPhone,
U000317,T0000420,2023-05-23 01:09:21,Windows,
U000955,T0000421,2022-11-28 23:49:25,iPad,"-1.533475,-19.409965"
U000011,T0000422,2023-06-22 07:58:06,Web,"68.9185135,-75.110940"
U000504,T0000423,2024-12-08 23:55:07,Android,
U000430,T0000424,2022-03-25 15:00:35,iPad,"70.4944685,-56.367863"
U000478,T0000425,2023-02-14 19:41:07,iPhone,"-82.6157115,32.928484"
U000979,T0000426,2025-03-10 15:51:02,Android,
U000115,T0000427,2024-05-06 20:37:11,,
U000362,T0000428,2025-07-06 07:24:07,Web,"22.415530,-174.492368"
U000873,T0000429,2025-08-04 17:34:22,Android,"-69.076050,137.008594"
U000925,T0000430,2023-07-09 01:28:17,,"-17.0268025,58.556672"
