USER,TWEET,engagement_type,engaged_at,is_organic
U000903,T0004760,like,2022-01-29 06:18:50,True
U000061,T0000484,like,2025-02-16 11:37:28,True
U000890,T0001956,like,2024-01-02 10:39:21,True
U000729,T0000530,like,2025-09-20 00:51:28,True
U000309,T0001620,quote,2023-04-06 04:11:38,True
U000430,T0002359,like,2024-04-09 05:25:21,True
U000674,T0002156,like,2024-11-24 08:52:41,True
U000786,T0004553,retweet,2024-05-14 02:07:41,True
U000250,T0001265,retweet,2023-06-15 21:31:09,False
U000861,T0002400,like,2024-02-25 12:27:50,True
U000761,T0000123,like,2023-05-11 13:46:33,True
U000522,T0000382,retweet,2025-07-15 09:04:01,True
U000071,T0004807,like,2024-02-23 10:48:46,True
U000520,T0002359,like,2024-06-18 09:22:21,True
U000167,T0000483,like,2024-06-17 18:42:13,True
U000419,T0004254,like,2024-05-26 17:01:34,True
U000918,T0004481,retweet,2024-11-30 06:49:37,True
U000349,T0001094,reply,2024-09-09 16:34:24,True
U000178,T0004410,like,2024-10-04 12:51:56,True
U000117,T0004493,retweet,2022-08-26 20:24:05,True
U000447,T0004109,like,2023-06-23 21:14:03,True
U000194,T0001386,like,2024-12-24 01:08:39,True
U000918,T0002349,retweet,2023-12-06 03:53:04,False
U000727,T0001496,like,2025-10-26 16:26:40,True
U000188,T0004811,like,2024-05-25 19:09:35,True
U000904,T0003090,like,2024-07-21 05:54:47,True
U000216,T0001453,like,2023-11-13 03:05:38,True
U000622,T0004125,like,2022-06-08 08:34:48,True
U000443,T0004854,like,2025-04-20 18:45:23,True
U000379,T0004283,like,2024-04-29 20:23:04,True
U000447,T0003355,reply,2025-03-11 00:41:15,True
U000973,T0003480,like,2023-09-01 04:56:24,True
U000231,T0003872,like,2023-02-11 20:32:03,True
U000993,T0002807,like,2023-01-26 16:22:59,True
U000986,T0002319,retweet,2023-05-01 21:56:43,True
U000393,T0001496,like,2024-06-19 08:10:36,True
U000654,T0003307,like,2024-07-01 20:43:14,True
U000956,T0002393,like,2022-08-17 12:05:17,True
U000773,T0000317,retweet,2024-02-14 08:59:28,True
U000433,T0004596,retweet,2023-11-17 06:46:20,True
U000247,T0004393,like,2024-11-07 20:19:31,True
U000854,T0001321,like,2024-10-21 16:32:47,True
U000010,T0001829,reply,2025-11-21 08:22:06,True
U000130,T0002726,reply,2025-07-12 13:35:56,True
U000452,T0000342,like,2023-08-12 21:07:08,True
U000185,T0003868,retweet,2024-08-27 20:01:46,False
U000526,T0001777,like,2025-01-07 02:50:20,True
U000984,T0000101,like,2023-09-27 17:12:24,True
U000348,T0003918,like,2024-11-27 21:17:47,True
U000605,T0001074,like,2025-07-17 21:59:12,True
U000697,T0003107,like,2025-03-18 20:17:08,False
U000656,T0004917,retweet,2022-09-12 08:25:56,False
U000516,T0003056,like,2023-07-23 14:18:30,False
U000952,T0003845,quote,2024-04-16 10:00:28,True
U000443,T0000727,like,2024-01-05 05:39:43,True
U000975,T0002398,like,2023-10-04 01:32:19,True
U000846,T0004481,retweet,2023-12-08 04:13:08,True
U000526,T0003742,like,2023-05-18 06:30:52,True
U000259,T0001362,like,2023-12-09 02:14:05,True
U000751,T0000368,retweet,2024-09-07 20:41:54,True
U000075,T0000746,like,2024-06-12 12:04:20,True
U000067,T0003872,like,2022-08-10 08:36:36,True
U000698,T0001554,reply,2023-03-05 21:12:14,True
U000199,T0001008,like,2025-11-30 00:56:22,True
U000992,T0000344,like,2024-02-05 04:13:00,True
U000412,T0003919,like,2022-02-19 03:48:59,True
U000851,T0001708,quote,2025-10-10 01:18:58,True
U000005,T0003522,like,2025-11-05 16:41:46,True
U000960,T0000100,like,2024-03-08 09:35:24,True
U000826,T0003356,like,2024-02-19 02:42:27,True
U000406,T0000046,like,2024-02-06 11:13:47,True
U000789,T0001529,like,2025-04-18 01:28:48,True
U000635,T0004172,like,2023-02-28 09:12:44,True
U000033,T0002370,like,2025-06-28 09:06:55,True
U000003,T0001933,like,2022-09-09 06:02:20,False
U000414,T0002923,retweet,2025-04-18 09:10:35,True
U000915,T0003272,like,2023-02-03 07:52:27,True
U000965,T0003573,reply,2022-12-13 07:30:51,True
U000903,T0001967,like,2024-05-20 16:47:59,True
U000794,T0002690,quote,2021-12-21 18:35:28,True
U000695,T0002639,like,2022-02-28 23:37:03,False
U000845,T0002057,like,2023-06-06 18:23:17,True
U000975,T0003949,reply,2025-01-24 17:33:00,True
U000511,T0000036,like,2022-02-27 03:02:26,True
U000991,T0003856,like,2022-12-04 18:18:44,True
U000502,T0001620,like,2023-08-05 12:25:09,True
U000047,T0002533,like,2022-09-23 22:11:26,True
U000293,T0000470,like,2025-01-23 21:49:18,True
U000680,T0002156,like,2022-10-20 21:00:11,True
U000288,T0003049,like,2025-02-07 15:03:38,False
U000978,T0001916,retweet,2025-05-23 13:59:22,True
U000760,T0004344,like,2024-02-05 14:53:13,True
U000978,T0004927,like,2022-06-01 15:09:27,False
U000650,T0000075,like,2025-01-02 01:10:04,True
U000051,T0002453,quote,2024-02-06 08:18:16,True
U000303,T0003883,retweet,2024-01-03 01:40:34,True
U000300,T0004550,like,2022-01-25 17:03:06,True
U000661,T0002248,retweet,2023-04-15 08:37:05,True
U000439,T0004678,like,2024-07-16 22:53:36,True
U000275,T0004163,retweet,2022-06-02 04:01:20,True
U000481,T0002505,quote,2024-09-18 00:27:09,True
U000671,T0000653,reply,2022-11-28 00:01:27,True
U000313,T0000676,retweet,2021-12-18 21:02:06,True
U000389,T0003132,like,2022-09-03 07:51:36,True
U000974,T0002422,reply,2025-03-16 11:22:04,True
U000270,T0003333,retweet,2022-10-25 06:25:58,True
U000114,T0001608,like,2024-03-05 05:34:05,True
U000998,T0003351,like,2023-03-11 06:47:44,True
U000406,T0000333,like,2024-04-09 05:42:55,True
U000531,T0001592,like,2024-06-26 06:12:24,True
U000983,T0003462,like,2021-12-24 03:09:01,True
U000214,T0004297,like,2025-03-25 14:22:57,True
U000343,T0004194,reply,2024-08-11 19:38:02,True
U000723,T0000276,like,2025-01-28 16:23:39,False
U000009,T0004993,like,2022-01-06 01:28:16,True
U000685,T0002396,reply,2025-08-11 08:54:19,True
U000434,T0001271,like,2022-07-20 20:49:52,True
U000531,T0001579,retweet,2022-06-30 21:58:41,True
U000460,T0003772,like,2022-01-24 11:31:24,True
U000964,T0001549,like,2021-12-22 23:45:40,False
U000132,T0002069,retweet,2025-04-07 18:29:59,True
U000003,T0000665,like,2023-04-03 16:07:21,True
U000347,T0002821,retweet,2024-08-18 08:36:39,True
U000753,T0001231,like,2025-09-01 05:46:47,True
U000238,T0000132,retweet,2022-08-31 23:31:49,False
U000414,T0000108,like,2023-06-04 03:58:18,False
U000390,T0004697,like,2025-02-03 16:32:19,False
U000035,T0003620,like,2023-07-11 17:53:10,True
U000398,T0001222,like,2022-05-10 21:40:41,True
U000961,T0000929,like,2023-02-07 17:08:47,True
U000668,T0001548,like,2024-04-28 14:01:15,True
U000396,T0001620,quote,2025-10-04 08:39:28,True
U000847,T0000034,like,2024-02-15 09:42:19,True
U000550,T0000879,like,2023-12-06 20:46:03,True
U001000,T0000441,quote,2023-07-09 14:22:22,True
U000234,T0004686,like,2022-03-05 16:50:29,True
U000972,T0004724,reply,2024-01-28 09:20:28,True
U000402,T0003677,like,2023-06-25 19:44:06,True
U000025,T0001455,retweet,2024-01-01 06:17:04,True
U000942,T0002792,like,2025-04-14 08:42:49,True
U000628,T0000582,like,2025-07-06 22:40:58,True
U000197,T0002292,retweet,2023-11-19 05:56:18,True
U000016,T0003309,like,2021-12-21 19:50:39,True
U000470,T0001351,reply,2024-12-30 21:30:07,True
U000809,T0000415,retweet,2025-03-16 04:57:45,True
U000829,T0003321,quote,2023-09-26 16:42:49,True
U000026,T0000856,like,2022-05-17 11:26:18,True
U000742,T0001804,like,2024-04-16 18:29:56,True
U000160,T0000750,like,2023-06-10 11:36:27,False
U000899,T0002443,retweet,2023-05-14 08:40:19,True
U000397,T0001966,quote,2024-01-31 00:25:21,True
U000944,T0001221,retweet,2025-08-29 07:39:12,True
U000851,T0003882,retweet,2023-11-18 01:40:05,True
U000665,T0000169,like,2023-01-02 03:37:22,False
U000732,T0004036,reply,2023-11-12 05:01:33,True
U000864,T0000565,like,2023-07-31 07:13:04,True
U000182,T0001768,like,2023-07-17 13:10:34,True
U000444,T0001909,reply,2023-11-05 12:36:27,True
U000348,T0001943,like,2023-03-11 09:03:38,True
U000418,T0003839,retweet,2024-07-22 18:06:23,True
U000499,T0004296,quote,2024-11-03 17:10:02,True
U000893,T0004894,like,2022-06-23 22:13:38,True
U000763,T0002162,retweet,2024-10-19 06:30:00,True
U000649,T0000675,retweet,2025-10-12 14:49:55,True
U000141,T0000013,like,2024-10-27 17:32:46,True
U000582,T0000353,like,2024-11-08 23:18:49,True
U000528,T0001385,like,2024-05-17 05:06:43,True
U000103,T0000895,retweet,2022-03-15 08:10:10,True
U000142,T0004792,like,2024-09-25 19:33:41,True
U000868,T0003273,like,2025-07-10 10:53:06,False
U000137,T0001826,like,2022-03-24 17:29:11,True
U000526,T0003326,like,2024-08-06 14:54:21,False
U000456,T0002498,like,2022-02-24 01:03:28,True
U000931,T0004194,like,2024-03-24 05:25:49,True
U000702,T0002030,like,2025-01-02 07:54:21,True
U000656,T0002724,like,2024-09-02 15:11:52,True
U000010,T0000750,like,2022-01-23 03:04:57,False
U000267,T0002658,like,2024-02-15 17:11:24,True
U000620,T0003543,like,2022-08-16 15:14:49,True
U000327,T0000050,retweet,2023-11-22 14:27:57,True
U000050,T0004173,reply,2022-09-12 19:12:03,True
U000499,T0004838,quote,2022-10-20 11:52:05,True
U000539,T0004977,like,2023-04-23 06:58:54,True
U000854,T0000973,reply,2021-12-07 07:48:57,True
U000172,T0003173,like,2022-06-14 16:00:59,True
U000068,T0002810,retweet,2023-09-19 10:14:29,True
U000344,T0000402,reply,2024-02-04 12:26:57,False
U000182,T0001185,like,2024-07-18 03:24:52,True
U000093,T0004363,retweet,2023-06-01 12:00:27,True
U000413,T0002159,like,2024-09-03 16:54:20,True
U000495,T0004828,like,2025-09-14 05:37:09,True
U000150,T0003722,like,2022-01-30 08:29:16,True
U000421,T0003099,like,2023-12-06 20:48:15,True
U000439,T0000542,like,2024-02-18 23:57:22,True
U000538,T0004854,like,2023-01-07 18:49:49,True
U000987,T0002883,like,2022-10-16 07:15:01,True
U000289,T0002675,retweet,2024-12-06 03:27:19,False
U000747,T0002284,like,2025-09-10 08:07:31,True
U000327,T0000597,like,2024-03-22 06:50:56,True
U000535,T0001049,like,2024-03-11 21:56:11,True
U000390,T0001185,retweet,2025-03-28 02:43:14,True
U000442,T0003754,like,2024-06-06 03:25:00,True
U000368,T0004596,like,2025-11-11 01:11:38,True
U000873,T0004274,retweet,2025-03-22 03:25:45,False
U000372,T0004118,like,2025-02-15 18:38:40,True
U000036,T0002680,like,2023-08-18 05:55:08,True
U000220,T0001219,like,2025-02-02 12:30:19,True
U000134,T0003326,retweet,2022-10-21 12:52:35,True
U000727,T0002606,like,2024-07-20 01:09:15,True
U000541,T0004578,like,2022-05-29 12:43:31,True
U000471,T0004678,retweet,2023-02-24 05:04:29,False
U000081,T0002233,retweet,2023-03-06 18:02:12,True
U000044,T0000984,retweet,2023-06-18 11:46:34,True
U000085,T0002479,retweet,2025-10-22 02:11:18,True
U000454,T0003366,like,2022-08-15 22:10:29,True
U000539,T0004580,like,2023-08-13 01:51:27,True
U000289,T0002340,retweet,2025-08-13 02:45:51,True
U000255,T0002128,reply,2024-11-21 02:30:22,True
U000438,T0000637,like,2025-06-04 16:41:44,False
U000423,T0001972,like,2024-01-18 12:30:25,True
U000185,T0001108,like,2025-03-12 18:51:21,True
U000220,T0001919,like,2023-02-08 16:43:06,True
U000514,T0000263,retweet,2025-09-22 14:15:26,False
U000596,T0004694,retweet,2022-03-08 23:07:59,True
U000075,T0003495,retweet,2023-02-15 17:51:42,True
U000218,T0003573,like,2025-09-08 23:28:52,True
U000042,T0001376,like,2023-12-05 05:08:46,True
U000276,T0002150,quote,2024-03-31 11:10:06,True
U000689,T0000984,reply,2022-08-04 17:16:27,True
U000096,T0002534,like,2022-03-16 05:28:37,True
U000082,T0004838,retweet,2023-01-28 05:55:27,True
U000599,T0003056,like,2022-11-21 11:08:24,True
U000419,T0004056,like,2023-04-26 01:39:23,True
U000070,T0001933,retweet,2024-04-28 17:03:13,True
U000286,T0003152,like,2024-07-04 11:34:35,True
U000012,T0004058,retweet,2023-08-27 07:57:12,True
U000631,T0004254,like,2022-06-05 09:13:48,False
U000108,T0001549,like,2024-06-16 15:03:33,False
U000405,T0003119,like,2024-12-31 13:26:13,True
U000973,T0002793,like,2025-07-19 17:08:07,True
U000195,T0001602,like,2025-05-18 21:52:18,True
U000216,T0003340,retweet,2024-09-04 05:26:00,True
U000128,T0003189,like,2021-12-24 06:20:14,True
U000451,T0002091,like,2022-05-19 14:14:26,True
U000206,T0003154,like,2024-02-11 08:35:46,True
U000273,T0000042,like,2024-08-26 05:23:23,True
U000946,T0004522,like,2025-12-02 16:27:15,False
U000353,T0000827,like,2025-10-29 11:09:49,False
U000052,T0002191,like,2022-11-05 19:47:47,True
U000719,T0003824,like,2023-06-30 17:08:41,True
U000722,T0000943,like,2024-08-28 22:06:28,True
U000649,T0003327,quote,2023-04-29 01:29:56,True
U000868,T0000118,like,2023-12-28 06:26:16,True
U000019,T0003940,like,2023-07-11 10:01:24,True
U000201,T0003863,like,2024-02-08 12:22:18,True
U000981,T0003813,like,2025-01-29 08:20:30,False
U000114,T0001266,like,2023-01-02 19:12:48,True
U000277,T0003772,retweet,2023-08-31 15:28:58,True
U000762,T0003824,reply,2022-02-09 06:41:38,True
U000144,T0002690,like,2021-12-21 20:51:16,True
U000523,T0002543,like,2024-07-22 10:47:25,True
U000111,T0002693,like,2023-06-20 11:59:02,True
U000494,T0002679,like,2025-10-29 09:56:56,False
U000969,T0001233,like,2021-12-07 04:25:55,True
U000597,T0001323,retweet,2024-10-05 16:32:30,True
U000914,T0001570,like,2022-04-11 08:06:32,True
U000707,T0004939,reply,2024-01-19 11:32:28,True
U000778,T0004467,like,2023-04-29 16:06:40,True
U000788,T0003558,like,2025-08-26 19:20:48,False
U000869,T0003522,like,2023-05-05 08:08:02,True
U000206,T0003878,like,2024-01-11 07:02:17,True
U000298,T0002163,retweet,2024-03-22 14:14:08,True
U000515,T0000737,retweet,2025-11-18 20:39:32,True
U000151,T0000662,retweet,2024-02-25 10:21:13,False
U000690,T0002214,like,2022-01-03 02:36:13,True
U000433,T0004784,like,2022-07-02 01:02:23,True
U000098,T0004532,like,2025-06-25 16:48:22,True
U000555,T0001261,like,2024-01-31 03:07:59,True
U000495,T0000127,like,2024-02-20 22:21:14,False
U000569,T0002736,like,2022-06-24 18:48:18,True
U000890,T0001784,quote,2025-11-18 06:32:52,True
U000373,T0002171,like,2022-11-21 19:12:06,True
U000305,T0003957,like,2025-01-19 23:02:39,True
U000369,T0001577,like,2025-07-02 11:31:37,False
U000857,T0003437,like,2021-12-29 02:44:16,True
U000922,T0001074,like,2025-08-29 15:48:34,True
U000409,T0000344,like,2022-01-27 15:32:46,True
U000656,T0003522,reply,2024-10-16 11:05:08,False
U000362,T0002085,retweet,2023-12-11 19:06:20,True
U000992,T0001233,retweet,2022-08-14 10:26:04,True
U000256,T0003943,retweet,2025-03-31 23:07:21,True
U000326,T0004285,retweet,2025-01-11 03:21:42,True
U000387,T0002428,like,2022-05-17 14:06:24,True
U000038,T0000342,like,2025-11-20 16:33:33,True
U000673,T0001890,quote,2022-09-29 14:17:05,True
U000697,T0002530,like,2025-06-03 09:30:22,True
U000952,T0003340,like,2025-01-16 02:19:34,True
U000243,T0004241,retweet,2024-03-23 01:59:49,True
U000185,T0002923,like,2023-10-14 05:30:59,True
U000429,T0004011,retweet,2023-12-17 08:37:01,True
U000450,T0001599,reply,2022-06-07 20:37:49,True
U000912,T0000684,like,2024-09-26 01:17:01,False
U000594,T0000641,like,2022-10-04 03:56:51,True
U000201,T0000338,like,2025-03-08 09:46:24,True
U000060,T0003554,like,2022-02-18 23:17:06,True
U000367,T0001784,like,2025-05-04 05:48:48,True
U000617,T0004790,like,2023-03-13 11:08:01,True
U000002,T0002024,like,2025-10-31 05:35:59,True
U000778,T0001313,like,2024-09-30 07:32:37,True
U000625,T0000914,retweet,2022-10-09 04:08:39,True
U000012,T0002340,like,2023-02-22 18:32:37,True
U000854,T0001967,retweet,2024-08-16 02:45:03,True
U000798,T0002619,like,2025-04-25 19:47:56,True
U000708,T0002736,like,2023-04-09 03:25:59,True
U000359,T0000504,like,2022-06-27 08:01:46,True
U000628,T0004353,retweet,2022-10-20 02:14:14,True
U000244,T0002128,like,2025-04-26 10:45:54,True
U000862,T0004446,like,2023-10-02 13:12:39,True
U000591,T0004580,retweet,2025-09-02 05:08:26,True
U000912,T0001146,reply,2024-10-04 23:31:13,True
U000609,T0002883,retweet,2025-06-12 09:38:13,True
U000674,T0002499,retweet,2025-08-04 09:50:02,False
U000348,T0003307,retweet,2024-09-02 00:29:26,True
U000761,T0000860,like,2025-01-23 08:46:28,True
U000744,T0001855,quote,2024-02-08 14:28:47,True
U000072,T0002370,retweet,2022-04-19 00:10:45,False
U000197,T0000942,like,2025-11-01 02:57:35,True
U000862,T0000924,like,2025-03-19 12:59:58,True
U000553,T0003491,retweet,2022-03-03 19:35:11,True
U000975,T0004041,like,2025-04-21 11:05:48,True
U000065,T0000694,quote,2022-01-18 05:17:56,True
U000306,T0002498,like,2022-10-18 22:10:50,False
U000044,T0003541,like,2025-03-07 22:29:55,True
U000880,T0001453,retweet,2022-02-02 05:54:05,True
U000876,T0004186,like,2022-07-23 19:48:48,True
U000739,T0003772,retweet,2024-07-14 04:25:17,True
U000302,T0001231,like,2025-10-11 14:11:04,True
U000883,T0004083,quote,2024-12-08 04:47:03,True
U000321,T0003620,like,2022-12-18 17:52:12,False
U000352,T0001916,like,2023-08-04 21:48:48,True
U000973,T0001272,like,2024-05-10 11:49:03,True
U000404,T0001929,reply,2025-03-19 13:07:18,False
U000353,T0003731,like,2024-05-22 04:11:09,True
U000441,T0003890,like,2025-10-01 22:15:03,False
U000705,T0002442,retweet,2024-06-13 14:06:05,True
U001000,T0002400,like,2022-08-19 23:18:38,True
U000462,T0000353,like,2022-12-17 11:15:53,False
U000225,T0002340,quote,2022-07-22 18:36:24,True
U000072,T0003748,like,2025-05-13 14:45:07,True
U000105,T0000256,retweet,2022-04-14 20:01:04,True
U000164,T0003668,like,2024-11-03 21:54:40,True
U000241,T0001592,retweet,2023-03-25 21:18:15,True
U000060,T0000839,like,2025-03-29 14:10:46,True
U000489,T0002707,reply,2024-01-25 15:23:48,True
U000316,T0000036,reply,2023-03-12 03:05:08,True
U000345,T0003730,retweet,2024-01-14 07:55:21,True
U000885,T0002823,like,2022-05-11 18:18:08,True
U000501,T0002879,retweet,2023-12-14 10:43:59,True
U000923,T0003152,like,2023-05-04 14:36:41,True
U000016,T0002109,like,2023-08-26 15:13:57,False
U000780,T0004667,like,2022-04-28 11:01:15,True
U000018,T0003769,like,2023-09-01 12:56:54,True
U000923,T0000742,like,2024-04-09 19:47:34,True
U000697,T0004664,like,2024-08-21 09:18:37,True
U000451,T0001189,quote,2025-11-20 00:05:18,True
U000299,T0004353,like,2025-09-24 14:16:32,True
U000139,T0001608,like,2023-08-15 20:57:09,False
U000960,T0003384,retweet,2023-08-27 01:30:42,True
U000341,T0003089,like,2023-11-16 22:09:16,False
U000981,T0002614,reply,2024-11-28 19:14:28,True
U000550,T0003950,like,2025-11-28 06:19:21,False
U000351,T0001964,like,2022-05-03 10:33:40,True
U000541,T0003344,like,2022-03-12 09:13:18,True
U000584,T0001300,reply,2023-11-22 12:13:53,True
U000208,T0000189,like,2024-05-26 13:24:33,True
U000123,T0001362,retweet,2022-06-01 13:16:06,True
U000337,T0003456,like,2024-01-07 20:27:00,True
U000414,T0000593,retweet,2023-09-11 07:52:07,True
U000146,T0004096,like,2025-02-10 19:34:29,False
U000502,T0004118,retweet,2025-08-28 03:39:11,True
U000606,T0001210,retweet,2022-06-21 19:57:04,True
U000462,T0001617,retweet,2022-06-06 11:16:08,True
U000651,T0002312,like,2023-10-06 16:14:41,True
U000739,T0000441,like,2022-04-10 15:20:49,True
U000664,T0003042,like,2023-09-26 18:34:57,False
U000775,T0000356,like,2023-09-05 11:09:02,True
U000633,T0003939,like,2025-10-17 09:51:25,True
U000638,T0002925,like,2022-10-27 04:13:44,True
U000127,T0001140,like,2024-12-05 01:49:52,True
U000138,T0002639,like,2023-03-21 16:22:32,True
U000214,T0001549,reply,2022-03-19 23:26:31,True
U000406,T0001321,like,2024-12-20 21:10:32,True
U000922,T0004729,like,2023-12-01 20:07:18,True
U000234,T0002422,like,2022-07-15 06:01:46,True
U000874,T0003059,retweet,2023-10-25 16:14:44,True
U000437,T0003996,like,2022-07-24 09:11:01,True
U000942,T0000891,like,2023-12-18 06:51:25,True
U000470,T0004408,reply,2025-11-17 15:51:37,False
U000295,T0002459,retweet,2025-06-22 11:24:03,True
U000256,T0000593,like,2024-08-27 14:42:14,True
U000728,T0000901,like,2024-06-03 20:55:10,True
U000532,T0003943,like,2022-04-16 09:24:49,True
U000240,T0000364,reply,2024-03-12 19:52:15,False
U000770,T0003882,retweet,2025-09-29 04:32:32,True
U000345,T0000270,retweet,2024-12-27 10:25:51,True
U000369,T0003573,like,2025-01-17 16:28:30,False
U000577,T0003010,like,2023-12-16 23:36:30,True
U000934,T0003622,reply,2022-03-24 07:38:13,True
U000776,T0002150,retweet,2024-06-13 08:52:06,True
U000403,T0000089,like,2023-10-04 02:48:46,True
U000985,T0000742,like,2024-10-30 06:03:34,False
U000583,T0003776,retweet,2023-04-20 00:35:31,True
U000975,T0000010,like,2022-05-03 22:38:40,True
U000115,T0000943,like,2025-01-09 21:34:02,True
U000774,T0003262,like,2025-09-22 04:30:07,True
U000603,T0000368,like,2024-07-22 16:22:35,True
U000178,T0003697,like,2022-11-18 21:50:27,True
U000583,T0004269,like,2023-01-09 10:26:11,True
U000652,T0004414,like,2023-06-30 21:48:56,False
U000975,T0001954,retweet,2022-11-27 06:43:53,True
U000971,T0002564,quote,2024-06-29 20:16:01,True
U000427,T0002847,like,2022-05-03 10:56:43,True
U000468,T0004584,like,2025-08-27 18:27:47,True
U000850,T0000270,like,2023-12-10 13:34:42,True
U000578,T0000632,like,2023-04-15 02:02:45,True
U000989,T0000540,quote,2023-05-14 16:11:30,True
U000710,T0004234,like,2022-05-15 13:51:10,True
U000425,T0001599,like,2024-02-05 16:30:09,True
U000830,T0003712,retweet,2023-09-07 12:45:44,True
U000507,T0003577,like,2024-06-30 02:39:17,True
U000109,T0000808,retweet,2022-11-26 17:14:29,True
U000701,T0003883,like,2025-01-25 14:26:29,True
U000731,T0004857,like,2022-03-03 09:04:09,True
U000676,T0003856,retweet,2025-04-22 11:53:16,True
U000740,T0000815,like,2025-08-28 09:41:38,True
U000319,T0002476,retweet,2024-05-29 17:21:00,True
U000361,T0000116,like,2022-12-11 02:23:20,True
U000320,T0003687,like,2025-11-24 08:06:34,True
U000647,T0000860,retweet,2022-02-26 22:22:38,True
U000909,T0003739,like,2022-12-27 19:31:35,True
U000001,T0001933,like,2025-08-14 10:08:28,True
U000340,T0001241,like,2022-10-24 09:15:05,False
U000809,T0002185,like,2023-03-29 04:22:01,False
U000923,T0003149,like,2023-07-19 07:22:12,True
U000284,T0003509,retweet,2025-08-12 13:46:31,False
U000681,T0000213,like,2022-02-07 23:04:18,True
U000934,T0001496,like,2024-07-22 04:46:09,True
U000916,T0004247,retweet,2025-02-27 10:08:49,True
U000829,T0002970,like,2022-02-10 06:36:26,True
U000779,T0003171,retweet,2022-05-08 01:18:13,False
U000200,T0002725,like,2022-12-29 01:06:12,True
U000463,T0002811,like,2022-07-17 01:41:50,True
U000481,T0001300,like,2023-10-03 04:35:20,True
U000070,T0000517,retweet,2023-11-17 19:06:06,True
U000738,T0000565,like,2025-10-10 02:06:03,False
U000829,T0004925,like,2022-10-20 20:05:01,True
U000816,T0000116,like,2022-09-17 19:53:50,True
U000529,T0003558,like,2023-03-07 04:16:39,True
U000394,T0003620,like,2025-10-01 21:16:23,True
U000074,T0003272,like,2025-05-20 08:57:52,True
U000518,T0004114,like,2022-11-19 01:02:33,False
U000089,T0004259,like,2025-03-24 01:53:03,False
U000419,T0003681,retweet,2021-12-13 20:14:34,True
U000518,T0003895,reply,2025-10-16 07:29:43,True
U000146,T0000114,like,2022-05-29 01:13:30,True
U000233,T0000527,like,2025-08-13 03:26:42,True
U000257,T0001778,like,2023-11-22 10:43:04,True
U000595,T0001262,like,2025-03-14 05:30:11,False
U000480,T0003321,like,2024-12-19 20:51:30,True
U000365,T0000470,like,2023-08-29 23:22:10,True
U000413,T0000484,reply,2025-04-05 14:09:39,True
U000719,T0002233,quote,2022-01-19 05:14:05,True
U000615,T0003237,quote,2021-12-04 00:54:48,True
U000191,T0002766,retweet,2024-09-03 10:49:07,True
U000682,T0001792,like,2023-10-13 19:24:22,True
U000734,T0002477,like,2024-07-17 17:28:54,True
U000361,T0000885,reply,2022-01-27 08:27:08,True
U000489,T0003696,like,2025-09-30 21:36:52,True
U000096,T0003998,like,2025-04-26 11:36:48,True
U000603,T0004660,quote,2023-10-21 23:41:39,True
U000194,T0000036,like,2023-08-15 07:59:04,True
U000584,T0001053,like,2025-09-23 01:59:57,False
